"Indiv","loci.genoed","prop.genoed"
"z0216914",55,0.310734463276836
"z0216915",30,0.169491525423729
"z0216916",38,0.214689265536723
"z0216918",156,0.88135593220339
"z0216920",74,0.418079096045198
"z0216921",38,0.214689265536723
"z0216924",79,0.446327683615819
"z0216926",120,0.677966101694915
"z0216927",134,0.757062146892655
"z0216928",173,0.977401129943503
"z0216929",30,0.169491525423729
"z0216930",173,0.977401129943503
"z0216931",148,0.836158192090395
"z0216932",172,0.971751412429379
"z0216933",122,0.689265536723164
"z0216934",157,0.887005649717514
"z0216935",151,0.853107344632768
"z0216936",147,0.830508474576271
"z0216939",142,0.80225988700565
"z0216940",93,0.525423728813559
"z0216941",105,0.593220338983051
"z0216942",131,0.740112994350282
"z0216944",30,0.169491525423729
"z0216946",67,0.378531073446328
"z0216947",97,0.548022598870056
"z0216948",98,0.553672316384181
