"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0012509",0.161632871302454,0.160654957347217,0.000140507048223607,0.0320167196355172,0.594158694314675,0.0184943957660921,0.0129071569741744,0.00903332801551283,0.0109613695961336
"z0012511",0.354002422932456,0.0544874572581188,3.90934297214821e-05,0.01055810352724,0.0500489056631197,0.519573150544093,1.2143456835656e-06,0.000555764093607026,0.010733888205961
"z0012515",0.801880105453476,0.0482022404138822,7.69544426208871e-05,0.0189181997137234,0.0944438984604227,0.0112608296235337,0.000571845471387725,0.00504423702696369,0.0196016893939901
"z0012517",0.926676625728273,0.00218478639890649,5.74333714269343e-06,0.000372840842848137,0.0399556359690288,0.00222080098471912,0.00259382671423999,0.000278766606725506,0.0257109734181164
"z0012519",0.798848679452102,0.0164598201412307,1.45889888715029e-05,0.0053101167877878,0.137369211199464,0.0046403763844149,0.00167159121040241,0.0228420529778528,0.0128435628578735
"z0012520",0.837436132182482,0.00211047078212653,0.000226133277719964,0.00120740245258866,0.131966148630825,0.00215837732120539,8.97708431260685e-05,0.012857873823915,0.0119476906860114
"z0012521",0.942488876582197,0.000392638895061324,0.000321656566349173,0.0010988535647865,0.0194196550437558,5.69473325104424e-05,0.00064245694830797,0.0354707739620235,0.000108141105008719
"z0012522",0.942959574358527,0.0143521871793427,0.000948512047743843,0.00273891083169388,0.0287133443217994,0.00707376650152208,2.35755488416528e-05,0.00246405433336503,0.000726074877164997
"z0012523",0.167639725074821,0.322734227526547,1.06999007558658e-05,0.125538180083719,0.170649212680051,0.210979914105035,2.41213238015267e-05,0.000754015108495419,0.00166990419677349
"z0012524",0.963598824020422,0.000912220118874139,1.14863601222325e-06,0.000132025189081067,0.0081526651462497,0.000188020043289722,0.000140583647424033,0.000387839210816374,0.0264866739878307
"z0012525",0.681253280186395,0.000294578706896502,0.148334354871539,0.00255950537129044,0.059525977915818,0.00251795412866845,0.0316364582168828,0.0554730315279141,0.0184048590745963
"z0012527",0.401527486356959,0.00102656394989522,3.20659903364162e-07,0.0164152707300489,0.26630137052371,0.0345620012491376,0.00294855573579307,0.268582997806565,0.00863543298798822
"z0012528",0.836999220091249,0.0205074958943268,4.63873045085869e-07,0.0104379220247173,0.0913148616830374,0.0241190307223132,0.00420838653537416,0.000833542143741603,0.0115790770321949
"z0016882",0.0238179414504948,0.000402916701354509,0.972683181481521,0.000432382051965758,0.00170376881057541,0.000118774625727321,7.68954696612078e-05,0.000374188383797278,0.000389951024902528
"z0016883",6.86573679218519e-07,4.86920350166822e-08,0.999993470276236,1.27036135026913e-08,1.91243371344258e-06,3.68860607157719e-06,7.58095518434833e-09,4.50106518725045e-08,1.28123043918433e-07
"z0016884",0.523698925792037,0.00551024466425503,0.0531315252119305,0.012639896605528,0.347251810450374,0.00374285466732843,0.000969777578575688,0.0481950687342693,0.00485989629570262
