"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus100","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,3
"locus106","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus110","In-water, Indonesia",1,2,0.333333333333333,1,1,1,0,0,1
"locus116","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus119","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus120","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus126","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus128","In-water, Indonesia",2,1,0.666666666666667,1,0.5,0.5,0,0,1
"locus129","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
"locus130","In-water, Indonesia",1,2,0.333333333333333,1,1,1,0,0,1
"locus134","In-water, Indonesia",2,1,0.666666666666667,2,1,0.5,0.666666666666667,0.666666666666667,1
"locus135","In-water, Indonesia",3,0,1,3,1,0.666666666666667,0.6,0.666666666666667,2
"locus137","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus139","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus140","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus146","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus148","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus151","In-water, Indonesia",2,1,0.666666666666667,2,1,1.5,0.666666666666667,0,1
"locus157","In-water, Indonesia",0,3,0,0,NA,NA,NA,0,1
"locus161","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,1
"locus165","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.6,1,1
"locus170","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus176","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus184","In-water, Indonesia",3,0,1,2,0.666666666666667,0,0.533333333333333,0.666666666666667,1
"locus186","In-water, Indonesia",3,0,1,1,0.333333333333333,0,0,0,1
"locus188","In-water, Indonesia",3,0,1,3,1,0,0.8,1,2
"locus189","In-water, Indonesia",3,0,1,2,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,2
