"","K1","K2","K3","K4","K5","K6","K7"
"z0061464",0.012987012987013,0.014985014985015,0.011988011988012,0.00899100899100899,0.004995004995005,0.00899100899100899,0.937062937062937
"z0061467",0.003996003996004,0.004995004995005,0.00699300699300699,0.005994005994006,0.011988011988012,0.004995004995005,0.961038961038961
"z0061468",0.009,0.008,0.01,0.012,0.006,0.007,0.948
"z0062622",0.92315369261477,0.0109780439121756,0.0129740518962076,0.0159680638722555,0.0129740518962076,0.00898203592814371,0.0149700598802395
"z0062627",0.910179640718563,0.0129740518962076,0.00998003992015968,0.00998003992015968,0.0279441117764471,0.0179640718562874,0.0109780439121756
"z0062630",0.956,0.006,0.008,0.008,0.009,0.005,0.008
"z0062634",0.947,0.007,0.009,0.008,0.008,0.01,0.011
"z0062636",0.957042957042957,0.010989010989011,0.00699300699300699,0.00799200799200799,0.003996003996004,0.005994005994006,0.00699300699300699
"z0062680",0.967935871743487,0.00801603206412826,0.00701402805611222,0.00400801603206413,0.0030060120240481,0.00400801603206413,0.00601202404809619
"z0062681",0.962,0.006,0.007,0.008,0.006,0.006,0.005
"z0062687",0.01,0.958,0.008,0.008,0.005,0.006,0.005
"z0062737",0.01001001001001,0.928928928928929,0.01001001001001,0.014014014014014,0.012012012012012,0.014014014014014,0.011011011011011
"z0062742",0.0189620758483034,0.932135728542914,0.0119760479041916,0.0119760479041916,0.00698602794411178,0.00998003992015968,0.00798403193612774
"z0062743",0.0109780439121756,0.930139720558882,0.0119760479041916,0.00898203592814371,0.00798403193612774,0.0109780439121756,0.0189620758483034
"z0062752",0.00700700700700701,0.961961961961962,0.00700700700700701,0.005005005005005,0.00800800800800801,0.00700700700700701,0.004004004004004
"z0062761",0.011011011011011,0.956956956956957,0.00800800800800801,0.00800800800800801,0.004004004004004,0.00600600600600601,0.00600600600600601
"z0062766",0.00600600600600601,0.94994994994995,0.00800800800800801,0.00800800800800801,0.005005005005005,0.00700700700700701,0.016016016016016
"z0062787",0.008,0.959,0.008,0.005,0.005,0.008,0.007
"z0076691",0.958,0.006,0.009,0.009,0.004,0.006,0.008
"z0076693",0.966033966033966,0.00799200799200799,0.00699300699300699,0.004995004995005,0.002997002997003,0.005994005994006,0.004995004995005
"z0076695",0.966,0.004,0.008,0.008,0.005,0.004,0.005
"z0076697",0.955,0.008,0.008,0.008,0.007,0.008,0.006
"z0076699",0.96996996996997,0.00800800800800801,0.00700700700700701,0.004004004004004,0.003003003003003,0.004004004004004,0.004004004004004
"z0076701",0.960960960960961,0.00700700700700701,0.00800800800800801,0.00800800800800801,0.005005005005005,0.00600600600600601,0.005005005005005
"z0076703",0.933,0.013,0.011,0.01,0.017,0.008,0.008
"z0076705",0.938877755511022,0.0110220440881764,0.00801603206412826,0.0100200400801603,0.0100200400801603,0.0110220440881764,0.0110220440881764
"z0076707",0.943887775551102,0.00801603206412826,0.0110220440881764,0.0130260521042084,0.00501002004008016,0.00701402805611222,0.0120240480961924
"z0076709",0.952952952952953,0.01001001001001,0.00900900900900901,0.00800800800800801,0.005005005005005,0.00600600600600601,0.00900900900900901
"z0076711",0.942057942057942,0.00799200799200799,0.00999000999000999,0.00999000999000999,0.00699300699300699,0.00999000999000999,0.012987012987013
"z0076713",0.95995995995996,0.00800800800800801,0.00800800800800801,0.00600600600600601,0.005005005005005,0.00700700700700701,0.00600600600600601
"z0076715",0.957915831663327,0.00601202404809619,0.00901803607214429,0.00901803607214429,0.00400801603206413,0.00601202404809619,0.00801603206412826
"z0102589",0.956043956043956,0.00699300699300699,0.00799200799200799,0.00899100899100899,0.004995004995005,0.00699300699300699,0.00799200799200799
"z0102605",0.960960960960961,0.00900900900900901,0.00800800800800801,0.00700700700700701,0.004004004004004,0.00600600600600601,0.005005005005005
"z0102610",0.93993993993994,0.00900900900900901,0.01001001001001,0.00900900900900901,0.00700700700700701,0.00800800800800801,0.017017017017017
"z0102616",0.975,0.004,0.005,0.004,0.003,0.005,0.004
"z0102682",0.929070929070929,0.010989010989011,0.00799200799200799,0.00899100899100899,0.015984015984016,0.018981018981019,0.00799200799200799
