Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	411	72	207	95	64	284	102	341	124	358	157	89	100	197	144	X	24	312	8	506	464	204	94	138	9	42	X	39	72	82	25	76	158
	387	48	143	105	36	376	105	567	141	258	147	125	107	232	170	X	11	262	13	498	403	176	80	151	7	51	X	58	86	56	31	79	169
	807	98	319	180	88	538	111	1020	214	619	216	200	123	366	199	X	15	707	20	1631	1049	376	170	245	14	150	X	121	97	98	25	186	317
	290	30	109	33	2	184	22	211	50	118	72	61	52	64	49	X	1	148	3	271	152	33	17	36	3	29	X	21	12	31	8	73	156
	614	57	279	88	84	328	57	1004	115	362	161	135	61	240	125	X	7	578	25	1783	735	252	109	142	9	82	X	57	48	65	15	126	226
	385	41	217	60	75	194	47	634	81	276	106	133	50	149	70	X	4	402	20	1128	395	206	75	88	6	59	X	50	32	8	7	91	131
	65	39	47	42	4	47	28	60	78	60	79	18	66	50	28	X	12	72	3	55	18	58	19	22	2	8	X	12	10	X	5	3	14
	791	98	313	151	100	619	124	1004	208	603	224	225	140	359	240	X	9	622	21	1441	956	370	162	242	18	115	X	123	103	104	23	201	306
	307	158	197	216	23	477	239	229	283	370	277	23	206	260	259	X	88	205	7	305	317	206	75	160	24	58	X	81	130	21	44	115	110
	142	16	46	31	42	116	15	166	33	86	49	38	21	59	32	X	10	116	6	199	165	86	37	24	5	13	X	10	17	2	5	30	47
	366	68	177	100	64	202	88	359	130	318	195	101	80	167	123	X	16	301	16	495	375	188	103	129	18	54	X	46	57	7	18	63	127
	415	37	146	56	7	353	77	564	41	304	145	225	49	93	75	X	1	308	5	470	530	120	23	139	X	71	X	48	54	41	17	179	199
	321	88	153	103	59	410	113	287	180	356	190	120	117	208	177	X	18	274	12	405	289	213	106	177	18	78	X	36	53	7	19	88	131
	141	18	73	18	27	97	14	155	24	92	43	39	15	59	41	X	4	122	5	273	144	65	37	37	7	23	X	16	13	6	5	22	76
	747	48	294	127	36	533	84	1067	124	470	178	228	109	293	170	X	8	500	19	1750	1077	281	90	227	3	88	X	78	74	57	23	212	297
	416	79	223	114	58	327	109	428	136	399	193	97	91	184	159	X	15	326	10	572	428	225	101	142	12	73	X	59	60	7	17	69	168
	374	96	162	113	28	371	120	384	146	274	225	99	122	201	185	X	12	359	3	235	372	211	38	163	6	92	X	54	97	2	33	67	165
	557	59	296	86	112	323	67	945	157	498	156	224	146	281	103	X	8	366	10	931	676	289	105	150	18	84	X	54	85	56	21	121	247
	979	159	585	286	70	903	285	1107	369	1070	656	60	308	454	374	X	29	850	10	600	495	702	144	311	22	96	X	100	161	6	41	121	252
	248	104	160	146	39	318	98	182	202	270	154	57	135	202	161	X	56	185	22	266	213	168	113	143	22	48	X	41	92	3	37	50	86
	31	9	14	10	1	51	12	23	11	18	19	5	10	17	21	X	10	15	X	11	5	20	5	9	X	8	X	1	4	1	4	4	13
	29	8	14	9	2	43	17	38	44	15	27	4	19	14	12	X	17	23	2	26	8	31	3	8	1	5	X	4	5	1	1	5	6
	620	58	337	90	66	327	69	905	125	451	160	195	90	221	97	X	6	529	23	1765	910	251	116	128	12	48	X	70	42	16	17	133	240
	186	151	90	199	27	198	134	106	186	233	120	42	165	105	87	X	49	167	17	171	118	112	52	155	12	49	X	49	41	5	46	48	64
	1115	133	385	243	108	1305	343	1424	353	789	497	462	318	742	688	X	38	539	26	917	809	489	255	638	46	217	X	160	284	29	101	365	412
	300	43	119	46	2	247	37	235	44	120	82	93	63	88	59	X	2	146	4	346	193	32	10	37	1	37	X	38	25	20	11	82	163
	655	104	338	132	48	484	159	595	246	614	253	88	159	313	246	X	17	487	13	771	786	289	127	233	14	121	X	62	116	13	30	134	277
	744	71	292	117	93	316	86	1060	105	487	209	197	105	213	135	X	13	665	18	1606	869	388	124	151	14	75	X	62	79	23	11	170	258
	451	26	154	46	68	176	34	605	66	225	101	127	37	138	63	X	6	313	16	717	505	206	71	82	6	49	X	40	36	11	7	68	155
	287	116	133	191	30	472	197	212	278	237	153	68	161	204	162	X	45	233	7	258	209	163	107	181	19	82	X	58	101	94	50	80	93
	1251	161	609	323	44	1614	389	1722	376	1064	784	230	363	512	501	X	18	889	11	925	572	839	164	444	13	166	X	139	272	7	66	134	310
	564	46	226	102	53	417	73	811	129	439	144	188	75	237	111	X	13	486	14	1484	681	271	87	159	7	77	X	70	79	12	18	158	208
	709	72	310	120	99	310	73	929	167	483	198	171	97	247	139	X	7	628	26	1813	759	296	154	159	14	105	X	93	63	21	13	137	239
	397	84	181	100	48	311	106	401	139	353	158	91	105	212	120	X	19	350	10	538	400	212	101	151	7	76	X	41	52	10	19	82	126
	1199	217	400	319	102	2123	525	1534	354	975	766	471	354	968	940	X	53	633	10	1297	819	600	311	764	20	328	X	173	330	209	112	377	509
	526	57	233	70	80	259	73	1184	117	306	121	229	80	244	84	X	7	399	12	959	411	284	135	105	7	51	X	45	27	17	16	104	180
	185	39	108	56	40	80	41	131	57	160	84	32	61	114	56	X	14	157	3	195	237	82	45	50	9	27	X	22	23	2	15	36	90
	147	109	139	117	6	182	99	134	166	131	104	30	177	134	113	X	48	154	6	54	31	113	32	34	4	22	X	25	25	2	23	17	33
	574	67	248	111	79	476	105	714	152	357	177	148	89	251	171	X	11	486	25	1156	576	289	127	184	11	60	X	63	67	75	35	123	201
	556	89	230	131	81	418	134	685	190	419	220	124	107	270	205	X	12	516	28	957	382	301	176	226	12	82	X	57	73	73	28	117	176
	294	22	136	47	66	154	26	535	43	196	95	92	28	105	58	X	5	240	15	590	355	214	80	67	9	57	X	33	38	2	5	56	135
	327	70	157	98	44	257	108	192	138	319	162	41	99	173	122	X	33	264	6	359	441	157	90	134	18	51	X	37	46	22	27	42	91
	677	62	289	85	64	339	67	994	128	470	165	202	88	209	125	X	8	560	21	1609	766	338	117	175	7	88	X	77	81	13	12	133	290
	293	14	126	41	42	136	27	437	49	180	89	75	32	126	52	X	1	257	3	589	365	145	50	74	2	35	X	31	24	39	7	66	115
	25	10	9	11	X	27	9	17	22	11	17	5	9	12	7	X	9	17	X	12	4	16	2	10	X	5	X	6	6	X	4	5	3
	38	5	16	18	X	49	12	34	32	18	19	8	30	24	19	X	4	22	1	17	4	13	6	5	X	5	X	4	3	X	1	4	9
	415	20	140	64	45	177	40	701	54	262	104	130	29	134	88	X	3	356	6	836	494	208	64	87	3	29	X	39	50	54	6	83	118
	275	33	180	67	47	165	67	170	87	247	112	46	53	112	72	X	26	205	14	285	234	134	55	83	7	32	X	16	34	2	13	39	88
