"","IsabelSI-South","PNG","Malaysia","In-water, CA","Bird's Head-Summer","Bird's Head-Winter","In-water, Indonesia","HaevoSI-Winter","HaevoSI-Summer"
"z0037468",0.00260388874894736,1.13114005319474e-05,5.41442057333453e-10,0.00269928978745466,0.933510314785125,0.0601737423382329,2.57760481714156e-05,0.000975587015212017,8.93348829949138e-08
"z0037471",0.0273970103608525,0.000191812092293697,1.63434825173783e-13,0.343016765444684,0.10615872285684,0.514192225792473,3.74224511665495e-08,0.00904337213875766,5.38914851481501e-08
"z0040942",0.0137285762438084,0.971627868838481,2.13095520368339e-11,0.00105109068884275,0.00104704281090374,0.0124016280601379,8.41499018753277e-11,3.46543327832411e-05,0.000109138919583816
"z0061449",0.439013158602122,0.0264873503053974,5.39743943514887e-11,0.0591957626262473,0.151725774448117,0.254541164182497,0.000402436161190674,0.00729581110349737,0.0613385425169567
"z0061452",0.107585328015346,0.00575507212829213,8.39445818474711e-11,0.0903805666263468,0.026960477909814,0.405980399752491,7.05999612449366e-06,0.363315872967442,1.52225201985718e-05
"z0061453",0.0572161540905949,0.0135162339168099,9.56674677669412e-09,0.00118661848546782,0.0265833997952679,0.900813803594359,5.46635721875247e-09,0.000297876550880728,0.000385898533515895
"z0061455",0.605335547550438,0.0062098907439212,1.13583395616294e-10,0.000705681947455171,0.205763970728139,0.181735742752125,1.41301474104398e-07,0.000211407309961571,3.76175529032071e-05
"z0061457",0.843669750617344,0.0020688376991137,3.69417380453007e-07,0.00542588648361547,0.0216381455130011,0.117377184464843,0.000329854015347039,0.00947513780949829,1.48339798575205e-05
"z0061459",0.839467159048683,0.00220740372017626,0.0475166581651998,1.99763359340791e-05,0.0462283205885166,0.0593983119021673,2.77698355520978e-07,0.00282507507657437,0.00233681746439291
"z0061461",0.923328601558872,0.0271175454856432,3.97921142572626e-05,0.000675470730402726,0.0115101827433828,0.0257103399232018,1.19344274927243e-06,0.00301740979018743,0.00859946421130322
"z0061462",0.341620422359219,0.000332848991034593,8.20811220939727e-10,0.0212868857002352,0.353356788595207,0.28221949446206,0.000497776410357162,0.000609996481590232,7.57861794856483e-05
"z0061467",0.650220786436149,0.000262787438813427,1.23175190037665e-05,0.000273650710296239,0.082466502975108,0.137714006081893,1.52409062923494e-07,0.0978663908008395,0.031183405628834
