"locus","stratum","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus030","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,1
"locus035","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus038","Malaysia",4,3,0.571428571428571,2,0.5,0.25,0.25,0.142857142857143,1
"locus039","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus040","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"locus041","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.166666666666667,0.303030303030303,0.285714285714286,1
"locus045","Malaysia",7,0,1,1,0.142857142857143,0,0,0,2
"locus047","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.285714285714286,1
"locus048","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus053","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,2
"locus055","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.714285714285714,1
"locus056","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus058","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.714285714285714,1
"locus060","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus061","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,2
"locus062","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus064","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,1
"locus065","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"locus073","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.714285714285714,1
"locus074","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus076","Malaysia",2,5,0.285714285714286,2,1,0,0.666666666666667,0.285714285714286,1
"locus077","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"locus080","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"locus083","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus088","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus093","Malaysia",2,5,0.285714285714286,1,0.5,0,0,0,1
"locus096","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus098","Malaysia",5,2,0.714285714285714,2,0.4,0,0.355555555555555,0.285714285714286,1
"locus100","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,3
"locus106","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus116","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus119","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,1
"locus120","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus128","Malaysia",2,5,0.285714285714286,2,1,1,0.666666666666667,0,1
"locus129","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,2
"locus130","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus134","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus135","Malaysia",7,0,1,3,0.428571428571429,0,0.56043956043956,0.571428571428571,2
"locus137","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,1
"locus139","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus140","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.571428571428571,1
"locus146","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,1
"locus148","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.428571428571429,1
"locus151","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.857142857142857,1
"locus157","Malaysia",5,2,0.714285714285714,2,0.4,0,0.355555555555555,0.285714285714286,1
"locus161","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.142857142857143,1
"locus165","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.166666666666667,0.484848484848485,0.571428571428571,1
"locus170","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.714285714285714,1
"locus176","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.285714285714286,1
"locus184","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.142857142857143,1
"locus186","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus188","Malaysia",7,0,1,3,0.428571428571429,0,0.714285714285714,0.571428571428571,2
"locus189","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,2
"locus190","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus191","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.285714285714286,1
"locus192","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus195","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus202","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus215","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,1
"locus227","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
"locus231","Malaysia",3,4,0.428571428571429,1,0.333333333333333,0,0,0,1
"locus235","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"locus236","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus237","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,2
"locus239","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.428571428571429,1
"locus248","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
"locus256","Malaysia",5,2,0.714285714285714,2,0.4,0,0.355555555555555,0.285714285714286,1
"locus263","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus264","Malaysia",7,0,1,2,0.285714285714286,0,0.527472527472528,0.285714285714286,1
"locus274","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
"locus280","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"locus282","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,1
"locus286","Malaysia",7,0,1,1,0.142857142857143,0,0,0,1
"locus291","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,2
"locus292","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
"locus296","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus301","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.333333333333333,0.166666666666667,0.142857142857143,1
"locus314","Malaysia",6,1,0.857142857142857,2,0.333333333333333,0.333333333333333,0.166666666666667,0.142857142857143,1
"locus321","Malaysia",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,1
"locus322","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.428571428571429,1
"locus323","Malaysia",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"locus329","Malaysia",7,0,1,2,0.285714285714286,0,0.538461538461538,0.428571428571429,1
"locus332","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.142857142857143,1
"locus358","Malaysia",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"locus359","Malaysia",7,0,1,2,0.285714285714286,0,0.362637362637363,0.142857142857143,1
"locus360","Malaysia",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,1
"Dc01018","In-water, CA",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,1
"Dc01661","In-water, CA",7,0,1,3,0.428571428571429,0.142857142857143,0.472527472527473,0.571428571428571,2
"Dc01707","In-water, CA",7,0,1,3,0.428571428571429,0,0.714285714285714,0.714285714285714,2
"Dc01784","In-water, CA",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,1
"Dc02951","In-water, CA",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"Dc03456","In-water, CA",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,1
"Dc03556","In-water, CA",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,1
"Dc06503","In-water, CA",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc07300","In-water, CA",7,0,1,3,0.428571428571429,0.142857142857143,0.648351648351648,0.428571428571429,2
"Dc07937","In-water, CA",7,0,1,3,0.428571428571429,0.142857142857143,0.538461538461538,0.571428571428571,2
"Dc08054","In-water, CA",7,0,1,3,0.428571428571429,0,0.483516483516483,0.571428571428571,2
"Dc08189","In-water, CA",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,2
"Dc08463","In-water, CA",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc08865","In-water, CA",7,0,1,3,0.428571428571429,0,0.56043956043956,0.571428571428571,2
"Dc10003","In-water, CA",6,1,0.857142857142857,1,0.166666666666667,0.166666666666667,0,0,1
"Dc10390","In-water, CA",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"Dc10878","In-water, CA",7,0,1,2,0.285714285714286,0,0.538461538461538,0.714285714285714,1
"Dc10885","In-water, CA",7,0,1,3,0.428571428571429,0,0.659340659340659,0.714285714285714,2
"Dc11203","In-water, CA",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,2
"Dc11714","In-water, CA",7,0,1,2,0.285714285714286,0,0.494505494505494,0.142857142857143,1
"Dc13159","In-water, CA",7,0,1,3,0.428571428571429,0,0.648351648351648,0.714285714285714,2
"Dc13592","In-water, CA",7,0,1,3,0.428571428571429,0,0.483516483516483,0.428571428571429,2
"Dc14022","In-water, CA",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc14945","In-water, CA",7,0,1,1,0.142857142857143,0,0,0,1
"Dc16747","In-water, CA",7,0,1,2,0.285714285714286,0,0.362637362637363,0.428571428571429,1
"Dc18951","In-water, CA",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
"Dc20232","In-water, CA",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,2
"Dc22883","In-water, CA",7,0,1,3,0.428571428571429,0,0.703296703296703,0.714285714285714,2
"Dc22887","In-water, CA",7,0,1,2,0.285714285714286,0,0.263736263736264,0.285714285714286,1
"Dc27955","In-water, CA",7,0,1,2,0.285714285714286,0,0.494505494505494,0.428571428571429,1
"Dc28124","In-water, CA",7,0,1,2,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,1
"Dc28776","In-water, CA",7,0,1,2,0.285714285714286,0,0.43956043956044,0.285714285714286,1
"Dc30071","In-water, CA",7,0,1,2,0.285714285714286,0,0.538461538461538,0.714285714285714,1
"Dc31007","In-water, CA",7,0,1,1,0.142857142857143,0,0,0,1
"Dc33714","In-water, CA",7,0,1,3,0.428571428571429,0.142857142857143,0.538461538461538,0.571428571428571,2
"Dc33907","In-water, CA",7,0,1,2,0.285714285714286,0,0.43956043956044,0.571428571428571,1
