"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.In-water, CA_adj","p.val.In-water, Indonesia_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus140","locus188",0.89981,1,NA,1,1,NA,0.47574,NA,1,0
"locus140","locus189",1,1,NA,NA,1,1,1,1,1,0
"locus140","locus190",1,0.441456,NA,NA,1,NA,1,1,1,0
"locus140","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"locus140","locus192",1,1,NA,NA,0.71746,NA,0.566364,1,1,0
"locus140","locus195",1,0.598906,1,NA,1,NA,0.598906,1,1,0
"locus140","locus202",1,0.424716,NA,NA,1,NA,1,1,1,0
"locus140","locus215",0.28467,NA,NA,NA,0.28467,NA,0.666916,0.377064,0.666916,0
"locus140","locus227",1,1,1,NA,1,NA,1,1,1,0
"locus140","locus231",1,1,1,NA,1,NA,1,NA,1,0
"locus140","locus235",0.44664,0.752952,NA,NA,1,NA,1,1,0.57024,0
"locus140","locus236",0.174524,1,NA,NA,1,1,1,1,1,0
"locus140","locus237",0.797832,0.797832,NA,NA,1,NA,1,1,1,0
"locus140","locus239",1,1,NA,NA,1,1,1,1,1,0
"locus140","locus248",1,1,NA,NA,1,NA,1,1,1,0
"locus140","locus256",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus263",0.879588,1,1,NA,1,NA,1,NA,1,0
"locus140","locus264",1,1,1,NA,1,NA,0.098868,NA,1,0
"locus140","locus274",1,1,NA,NA,0.13746,NA,1,NA,1,0
"locus140","locus280",0.586096,0.51273,NA,NA,1,NA,0.586096,NA,1,0
"locus140","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus286",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus291",1,1,NA,NA,0.71509,NA,1,NA,1,0
"locus140","locus292",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus301",0.721376,1,NA,NA,0.71189,NA,1,NA,1,0
"locus140","locus314",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus322",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus323",1,1,NA,NA,1,NA,0.48296,NA,1,0
"locus140","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus332",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus358",0.91916,1,NA,NA,0.973484,NA,0.91916,NA,0.60033,0
"locus140","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"locus140","locus360",0.4707,1,1,NA,1,NA,1,NA,0.098856,0
"locus146","locus148",1,1,1,1,1,NA,1,NA,1,0
"locus146","locus151",0.49135,NA,NA,1,0.579968,NA,1,NA,1,0
"locus146","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"locus146","locus161",1,1,NA,1,1,NA,0.42792,NA,1,0
"locus146","locus165",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus170",1,1,NA,1,0.856308,NA,1,NA,1,0
"locus146","locus176",0.798216,NA,NA,NA,0.716874,NA,0.274976,NA,0.716874,0
"locus146","locus184",0.065196,0.95984,NA,1,1,NA,1,NA,1,0
"locus146","locus186",1,1,NA,1,1,NA,1,NA,1,0
"locus146","locus188",1,1,NA,1,1,NA,1,NA,1,0
"locus146","locus189",1,1,NA,NA,1,1,1,1,1,0
"locus146","locus190",1,1,NA,NA,1,NA,1,1,1,0
"locus146","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"locus146","locus192",1,1,NA,NA,1,NA,1,1,1,0
"locus146","locus195",1,1,1,NA,1,1,1,1,1,0
"locus146","locus202",0.25666,1,NA,NA,1,NA,0.177204,1,0.66404,0
"locus146","locus215",1,NA,NA,NA,1,NA,0.16097,0.208816,0.208816,0
"locus146","locus227",1,1,1,NA,1,NA,1,1,1,0
"locus146","locus231",1,1,1,NA,1,NA,1,NA,0.485016,0
"locus146","locus235",0.474204,0.474204,NA,NA,1,NA,0.474204,1,1,0
"locus146","locus236",0.212128,1,NA,NA,1,1,1,1,1,0
"locus146","locus237",1,1,NA,NA,1,NA,1,1,1,0
"locus146","locus239",1,1,NA,NA,1,1,1,1,1,0
"locus146","locus248",1,1,NA,NA,1,NA,1,1,1,0
"locus146","locus256",0.09272,1,NA,NA,0.382536,NA,1,NA,1,0
"locus146","locus263",0.607836,1,1,NA,1,NA,1,NA,1,0
"locus146","locus264",1,1,1,NA,1,NA,1,NA,1,0
"locus146","locus274",1,0.944824,NA,NA,0.944824,NA,0.62127,NA,1,0
"locus146","locus280",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus286",0.86291,1,NA,NA,1,NA,0.86291,NA,0.86291,0
"locus146","locus291",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus292",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus296",0.6693,0.744472,NA,NA,1,NA,1,NA,1,0
"locus146","locus301",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus314",1,0.858984,NA,NA,1,NA,1,NA,0.25859,0
"locus146","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus322",1,1,NA,NA,1,NA,1,NA,0.90261,0
"locus146","locus323",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus329",0.86801,0.86801,NA,NA,1,NA,1,NA,1,0
"locus146","locus332",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus358",1,1,NA,NA,0.71662,NA,1,NA,1,0
"locus146","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"locus146","locus360",1,1,1,NA,1,NA,1,NA,1,0
"locus148","locus151",1,NA,NA,1,1,NA,1,NA,0.79512,0
"locus148","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"locus148","locus161",1,1,NA,1,1,NA,1,NA,1,0
"locus148","locus165",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus170",1,1,NA,1,1,NA,1,NA,1,0
"locus148","locus176",1,NA,NA,NA,1,NA,1,NA,1,0
"locus148","locus184",1,1,NA,1,1,NA,0.487836,NA,1,0
"locus148","locus186",1,1,NA,1,1,NA,1,NA,1,0
"locus148","locus188",1,1,NA,1,1,NA,1,NA,1,0
"locus148","locus189",1,1,NA,NA,1,1,1,1,1,0
"locus148","locus190",1,0.728364,NA,NA,1,NA,1,1,1,0
"locus148","locus191",0.06907,NA,NA,NA,1,NA,0.555904,1,1,0
"locus148","locus192",1,1,NA,NA,1,NA,1,1,0.672072,0
"locus148","locus195",0.124586,1,1,NA,1,NA,1,1,1,0
"locus148","locus202",1,1,NA,NA,1,NA,1,0.860172,1,0
"locus148","locus215",1,NA,NA,NA,0.49104,NA,1,1,1,0
"locus148","locus227",1,1,1,NA,1,NA,1,1,1,0
"locus148","locus231",0.688884,1,NA,NA,1,NA,0.08359,NA,0.08359,0
"locus148","locus235",0.112128,1,NA,NA,1,NA,1,1,1,0
"locus148","locus236",1,1,NA,NA,1,1,1,1,1,0
"locus148","locus237",1,0.105444,NA,NA,1,NA,1,1,0.87342,0
"locus148","locus239",1,1,NA,NA,1,1,0.187292,1,1,0
"locus148","locus248",0.501792,1,NA,NA,1,NA,1,1,1,0
"locus148","locus256",0.65996,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus263",1,1,1,NA,1,NA,1,NA,1,0
"locus148","locus264",0.90521,0.654708,1,NA,1,NA,1,NA,1,0
"locus148","locus274",0.77908,0.77908,NA,NA,1,NA,1,NA,1,0
"locus148","locus280",1,1,NA,NA,1,NA,0.87929,NA,1,0
"locus148","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus286",1,1,NA,NA,1,NA,0.75686,NA,1,0
"locus148","locus291",0.11354,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus292",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus296",1,1,NA,NA,1,NA,0.32396,NA,1,0
"locus148","locus301",1,0.52089,NA,NA,1,NA,1,NA,1,0
"locus148","locus314",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus322",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus323",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"locus148","locus332",1,0.50075,NA,NA,1,NA,1,NA,1,0
"locus148","locus358",1,1,NA,NA,0.286,NA,0.493008,NA,0.493008,0
"locus148","locus359",0.07844,1,NA,NA,1,NA,1,NA,1,0
"locus151","locus157",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus165",0.627996,NA,NA,NA,1,NA,0.332808,NA,0.627996,0
"locus151","locus170",1,NA,NA,0.606318,1,NA,0.501592,NA,0.45655,0
"locus151","locus184",1,NA,NA,1,1,NA,1,NA,1,0
"locus151","locus186",1,NA,NA,1,1,NA,1,NA,0.80843,0
"locus151","locus188",1,NA,NA,1,0.98828,NA,1,NA,1,0
"locus151","locus189",1,NA,NA,NA,1,1,1,1,0.36138,0
"locus151","locus190",1,NA,NA,NA,1,NA,0.7583,1,1,0
"locus151","locus191",0.855354,NA,NA,NA,0.32533,NA,0.855354,1,0.493096,0
"locus151","locus192",1,NA,NA,NA,1,NA,1,1,1,0
"locus151","locus195",1,NA,1,NA,1,NA,1,1,1,0
"locus151","locus202",1,NA,NA,NA,1,NA,1,1,1,0
"locus151","locus215",1,NA,NA,NA,1,NA,1,1,1,0
"locus151","locus227",1,NA,1,NA,1,NA,1,1,0.854508,0
"locus151","locus231",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus235",1,NA,NA,NA,1,NA,1,1,1,0
"locus151","locus236",1,NA,NA,NA,1,1,1,1,1,0
"locus151","locus237",1,NA,NA,NA,1,NA,0.55086,1,1,0
"locus151","locus239",1,NA,NA,NA,1,1,1,1,1,0
"locus151","locus248",1,NA,NA,NA,0.579328,NA,0.33672,1,1,0
"locus151","locus256",1,NA,NA,NA,0.7888,NA,1,NA,1,0
"locus151","locus263",0.2014,NA,1,NA,1,NA,1,NA,1,0
"locus151","locus264",0.84885,NA,1,NA,1,NA,1,NA,1,0
"locus151","locus274",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus280",0.85448,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus282",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus286",1,NA,NA,NA,1,NA,0.538952,NA,1,0
"locus151","locus291",1,NA,NA,NA,1,NA,0.137016,NA,1,0
"locus151","locus292",0.908904,NA,NA,NA,1,NA,1,NA,0.908904,0
"locus151","locus296",0.205992,NA,NA,NA,0.61811,NA,0.405516,NA,0.405516,0
"locus151","locus301",1,NA,1,NA,1,NA,1,NA,0.38963,0
"locus151","locus314",0.778868,NA,NA,NA,0.190416,NA,0.573816,NA,1,0
"locus151","locus321",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus322",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus323",1,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus329",1,NA,NA,NA,1,1,1,NA,1,0
"locus151","locus332",0.501592,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus358",1,NA,NA,NA,1,NA,1,NA,0.118856,0
"locus151","locus359",0.396264,NA,NA,NA,1,NA,1,NA,1,0
"locus151","locus360",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus161",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus165",0.759152,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus170",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus176",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus184",1,NA,NA,NA,0.85887,NA,0.685168,NA,1,0
"locus157","locus186",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus188",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus189",0.20478,NA,NA,NA,1,NA,1,1,1,0
"locus157","locus190",1,NA,NA,NA,0.7217,NA,1,1,0.925216,0
"locus157","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"locus157","locus192",0.831208,NA,NA,NA,1,NA,0.34098,1,1,0
"locus157","locus195",1,NA,1,NA,1,NA,1,1,1,0
"locus157","locus202",1,NA,NA,NA,0.71063,NA,1,1,1,0
"locus157","locus215",1,NA,1,NA,1,NA,1,1,1,0
"locus157","locus227",1,NA,1,NA,1,NA,1,1,1,0
"locus157","locus231",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus235",1,NA,NA,NA,0.70842,NA,1,1,1,0
"locus157","locus236",0.15319,NA,NA,NA,1,NA,1,1,0.774616,0
"locus157","locus237",0.20069,NA,NA,NA,0.576888,NA,0.799184,0.799184,0.576888,0
"locus157","locus239",1,NA,NA,NA,1,NA,0.28059,1,1,0
"locus157","locus248",1,NA,NA,NA,1,NA,1,1,1,0
"locus157","locus256",1,NA,NA,NA,1,NA,0.09228,NA,1,0
"locus157","locus263",0.20445,NA,1,NA,1,NA,1,NA,0.919128,0
"locus157","locus264",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus274",0.26228,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus280",1,NA,NA,NA,1,NA,0.800816,NA,1,0
"locus157","locus282",0.71772,NA,1,NA,0.71772,NA,0.71772,NA,0.71772,0
"locus157","locus286",0.82264,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus291",1,NA,NA,NA,1,NA,0.3928,NA,0.693852,0
"locus157","locus292",0.060552,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus296",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus301",1,NA,NA,NA,1,NA,0.939072,NA,1,0
"locus157","locus314",1,NA,NA,NA,0.85524,NA,0.070336,NA,1,0
"locus157","locus321",1,NA,NA,NA,1,NA,1,NA,0.710912,0
"locus157","locus322",1,NA,NA,NA,0.575848,NA,0.998766,NA,1,0
"locus157","locus323",0.398568,NA,NA,NA,0.85924,NA,0.263144,NA,0.85924,0
"locus157","locus329",0.931374,NA,NA,NA,1,NA,0.211488,NA,1,0
"locus157","locus332",1,NA,NA,NA,1,NA,0.270424,NA,1,0
"locus157","locus358",0.92673,NA,NA,NA,1,NA,0.657088,NA,1,0
"locus157","locus359",1,NA,NA,NA,1,NA,1,NA,1,0
"locus157","locus360",0.825248,NA,NA,NA,0.825248,NA,0.07032,NA,0.571404,0
"locus161","locus165",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus170",1,1,1,1,1,NA,1,NA,1,0
"locus161","locus184",1,1,NA,1,1,NA,0.532524,NA,1,0
"locus161","locus186",1,0.786132,NA,1,1,NA,1,NA,0.786132,0
"locus161","locus188",0.85478,1,NA,1,1,1,0.640284,NA,0.487746,0
"locus161","locus189",1,1,NA,NA,1,NA,1,1,0.579084,0
"locus161","locus190",1,1,NA,NA,1,1,1,1,1,0
"locus161","locus191",1,NA,NA,NA,1,NA,1,1,0.35293,0
"locus161","locus192",1,1,NA,NA,1,NA,1,1,1,0
"locus161","locus195",1,1,1,NA,1,NA,1,1,1,0
"locus161","locus202",1,1,1,NA,1,NA,1,1,1,0
"locus161","locus215",1,NA,1,NA,1,NA,1,1,1,0
"locus161","locus227",1,1,1,NA,1,NA,1,1,1,0
"locus161","locus231",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus235",1,0.815136,NA,NA,1,NA,1,1,1,0
"locus161","locus236",1,1,NA,NA,1,NA,1,1,1,0
"locus161","locus237",1,1,NA,NA,1,NA,0.769572,1,1,0
"locus161","locus239",1,1,NA,NA,1,NA,1,1,1,0
"locus161","locus248",1,1,NA,NA,1,NA,0.497592,1,1,0
"locus161","locus256",1,1,NA,NA,1,NA,1,NA,0.93689,0
"locus161","locus263",1,1,1,NA,1,NA,1,NA,1,0
"locus161","locus264",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus274",0.26001,0.747424,NA,NA,1,NA,0.76653,NA,1,0
"locus161","locus280",0.9372,0.9372,NA,NA,1,NA,1,NA,1,0
"locus161","locus282",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus286",1,1,NA,NA,0.71236,NA,1,NA,1,0
"locus161","locus291",0.65283,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus292",1,0.17885,NA,NA,1,NA,1,NA,1,0
"locus161","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus301",1,1,NA,NA,1,1,0.940116,NA,1,0
"locus161","locus314",0.34164,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus321",1,0.438032,NA,NA,1,NA,0.0569,NA,1,0
"locus161","locus322",0.75292,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus323",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus332",1,0.57355,NA,NA,1,NA,1,NA,1,0
"locus161","locus358",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"locus161","locus360",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus170",1,1,1,NA,1,NA,0.899436,NA,1,0
"locus165","locus176",0.635192,NA,NA,NA,1,NA,1,NA,1,0
"locus165","locus184",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus186",1,1,NA,NA,1,NA,1,NA,0.82508,0
"locus165","locus188",0.053544,0.74774,1,NA,1,NA,0.994408,NA,1,0
"locus165","locus189",1,1,NA,NA,1,NA,1,1,1,0
"locus165","locus190",1,0.54897,NA,NA,0.403908,NA,1,1,1,0
"locus165","locus191",1,NA,1,NA,0.99932,NA,0.990228,1,1,0
"locus165","locus192",0.51066,1,NA,NA,1,NA,1,1,1,0
"locus165","locus195",1,1,1,NA,1,NA,1,1,1,0
"locus165","locus202",1,1,1,NA,1,NA,1,1,1,0
"locus165","locus231",1,1,NA,NA,1,NA,0.41936,NA,1,0
"locus165","locus235",1,1,NA,NA,1,NA,1,1,1,0
"locus165","locus236",1,1,NA,NA,1,NA,1,1,1,0
"locus165","locus237",1,1,NA,NA,1,NA,0.227268,1,1,0
"locus165","locus239",1,1,NA,NA,1,NA,0.979824,1,1,0
"locus165","locus248",1,0.467208,NA,NA,1,NA,1,1,1,0
"locus165","locus256",1,1,NA,NA,1,1,0.635136,NA,0.635136,0
"locus165","locus263",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus264",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus274",1,0.2328,NA,NA,1,NA,1,NA,0.474456,0
"locus165","locus280",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus282",0.25732,1,NA,NA,1,NA,0.402152,NA,1,0
"locus165","locus291",1,1,NA,NA,1,1,0.442704,NA,1,0
"locus165","locus292",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus301",0.79656,0.167892,NA,NA,0.79656,1,0.28572,NA,1,0
"locus165","locus314",1,1,NA,NA,1,NA,1,NA,0.53699,0
"locus165","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus322",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus323",1,1,NA,NA,1,NA,0.53348,NA,0.53348,0
"locus165","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus332",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus358",1,1,NA,NA,1,NA,1,NA,1,0
"locus165","locus359",1,0.56227,NA,NA,1,NA,1,NA,1,0
"locus165","locus360",0.65208,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus176",0.802656,NA,NA,NA,0.855628,NA,0.855628,NA,0.802656,0
"locus170","locus184",1,0.66375,NA,1,1,NA,0.484548,NA,1,0
"locus170","locus186",1,1,NA,1,1,NA,1,NA,1,0
"locus170","locus188",1,1,NA,1,1,NA,1,1,0.905506,0
"locus170","locus189",0.40278,1,NA,NA,1,NA,0.285828,1,1,0
"locus170","locus190",1,1,NA,NA,1,NA,1,1,1,0
"locus170","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"locus170","locus192",1,1,NA,NA,0.857136,NA,1,1,1,0
"locus170","locus195",1,1,1,NA,1,NA,1,1,1,0
"locus170","locus202",1,1,NA,NA,1,NA,1,1,0.528288,0
"locus170","locus215",0.28217,NA,NA,NA,0.28217,NA,1,1,0.605892,0
"locus170","locus227",1,1,1,NA,1,1,1,1,1,0
"locus170","locus235",1,0.64623,NA,NA,1,NA,0.602964,1,1,0
"locus170","locus236",0.63098,1,NA,NA,1,NA,0.233736,1,0.737664,0
"locus170","locus237",0.976068,0.976068,1,NA,1,NA,0.201376,1,1,0
"locus170","locus248",1,1,NA,NA,1,NA,0.227028,1,1,0
"locus170","locus256",1,1,1,NA,1,1,1,NA,0.8057,0
"locus170","locus263",1,0.27503,NA,NA,1,NA,1,NA,1,0
"locus170","locus264",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus274",1,0.13113,NA,NA,0.13113,NA,1,NA,1,0
"locus170","locus280",1,0.314264,NA,NA,1,NA,1,NA,0.15595,0
"locus170","locus282",1,0.78525,NA,NA,0.78525,NA,0.78525,NA,1,0
"locus170","locus286",0.31585,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus291",1,1,NA,NA,0.853044,1,1,NA,1,0
"locus170","locus292",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus296",0.92699,1,NA,NA,1,NA,1,NA,0.92699,0
"locus170","locus301",1,1,NA,NA,0.852564,1,1,NA,0.852564,0
"locus170","locus314",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus322",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus323",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus329",1,0.35728,NA,NA,1,NA,0.35728,NA,0.35728,0
"locus170","locus332",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus358",0.83527,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"locus170","locus360",0.849368,0.849368,NA,NA,0.849368,NA,0.08223,NA,0.849368,0
"locus176","locus184",1,NA,NA,NA,1,NA,0.901688,NA,1,0
"locus176","locus186",1,NA,NA,NA,1,NA,0.165768,NA,1,0
"locus176","locus188",0.19121,NA,NA,NA,1,NA,1,1,0.689632,0
"locus176","locus189",1,NA,NA,NA,1,NA,0.20042,1,1,0
"locus176","locus190",0.57411,NA,NA,NA,1,NA,1,1,1,0
"locus176","locus191",1,NA,NA,NA,1,NA,1,1,1,0
"locus176","locus192",1,NA,NA,NA,1,NA,1,1,1,0
"locus176","locus195",1,NA,1,NA,1,NA,1,1,1,0
"locus176","locus202",1,NA,NA,NA,1,NA,1,1,1,0
"locus176","locus215",1,NA,NA,NA,1,NA,1,1,1,0
"locus176","locus227",1,NA,1,NA,1,1,1,1,1,0
"locus176","locus231",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus235",1,NA,NA,NA,1,NA,1,1,1,0
"locus176","locus236",1,NA,NA,NA,1,NA,0.83863,1,1,0
"locus176","locus237",1,NA,1,NA,1,NA,0.286068,1,1,0
"locus176","locus239",1,NA,NA,NA,1,NA,1,0.33971,1,0
"locus176","locus248",0.246968,NA,NA,NA,0.433896,NA,0.630864,0.630864,0.22738,0
"locus176","locus256",1,NA,1,NA,1,1,1,NA,1,0
"locus176","locus263",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus264",0.747918,NA,NA,NA,0.747918,NA,0.244576,NA,0.747918,0
"locus176","locus274",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus280",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus282",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus286",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus291",1,NA,NA,NA,1,1,1,NA,1,0
"locus176","locus292",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus296",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus301",1,NA,NA,NA,1,1,0.51724,NA,1,0
"locus176","locus314",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus321",0.410712,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus322",1,NA,NA,NA,1,NA,0.326504,NA,1,0
"locus176","locus323",0.40736,NA,NA,NA,0.768984,NA,1,NA,1,0
"locus176","locus329",1,NA,NA,NA,1,NA,1,NA,0.356208,0
"locus176","locus332",0.916422,NA,NA,NA,0.115488,NA,0.916422,NA,0.916422,0
"locus176","locus358",1,NA,NA,NA,1,NA,1,NA,1,0
"locus176","locus359",0.92853,NA,NA,NA,1,NA,0.173352,NA,0.92853,0
"locus176","locus360",0.907936,NA,NA,NA,0.26316,NA,0.907936,NA,0.86589,0
"locus184","locus188",1,1,NA,1,1,NA,1,1,1,0
"locus184","locus189",1,1,NA,NA,1,NA,1,1,1,0
"locus184","locus190",1,1,NA,NA,1,NA,1,1,0.285984,0
"locus184","locus191",1,NA,NA,NA,1,NA,0.2437,1,1,0
"locus184","locus192",1,1,NA,NA,1,NA,1,1,1,0
"locus184","locus195",1,1,1,NA,1,NA,1,1,1,0
"locus184","locus202",0.965692,0.965692,NA,NA,0.70782,NA,0.5769,0.70782,0.798864,0
"locus184","locus215",0.43222,NA,NA,NA,1,NA,1,1,1,0
"locus184","locus227",1,1,1,NA,1,NA,0.055188,1,1,0
"locus184","locus231",1,1,1,NA,1,NA,1,NA,1,0
"locus184","locus235",0.379632,1,NA,NA,1,NA,0.85107,1,1,0
"locus184","locus236",1,0.36888,NA,NA,1,NA,1,1,0.156024,0
"locus184","locus237",0.378636,1,NA,NA,0.71621,NA,1,1,0.71621,0
"locus184","locus239",0.517992,1,NA,NA,1,NA,1,1,1,0
"locus184","locus248",1,1,NA,NA,1,NA,1,1,0.679512,0
"locus184","locus256",0.8545,0.8545,NA,NA,1,NA,1,NA,1,0
"locus184","locus263",1,0.72296,NA,NA,1,NA,0.72296,NA,1,0
"locus184","locus264",1,0.45715,NA,NA,1,NA,1,NA,1,0
"locus184","locus274",1,1,NA,NA,1,NA,1,NA,0.37396,0
"locus184","locus280",1,1,NA,NA,1,NA,1,NA,1,0
"locus184","locus282",1,0.06415,NA,NA,0.57136,NA,1,NA,1,0
"locus184","locus286",1,0.86405,NA,NA,1,NA,1,NA,1,0
"locus184","locus291",1,0.717056,NA,NA,1,NA,0.43197,NA,1,0
"locus184","locus292",0.869128,1,NA,NA,1,NA,1,NA,0.1138,0
"locus184","locus296",1,1,NA,NA,1,NA,1,NA,1,0
"locus184","locus301",1,1,NA,NA,1,1,1,NA,1,0
"locus184","locus314",1,1,NA,NA,1,NA,1,NA,1,0
"locus184","locus321",1,1,NA,NA,1,NA,1,NA,1,0
"locus184","locus322",0.867368,0.19887,NA,NA,0.99945,NA,0.99945,NA,0.99945,0
"locus184","locus323",1,1,NA,NA,1,1,1,NA,1,0
"locus184","locus329",1,1,NA,NA,1,NA,1,NA,1,0
"locus184","locus332",1,1,NA,NA,1,NA,1,NA,0.93961,0
"locus184","locus358",1,1,NA,NA,1,NA,0.06195,NA,1,0
"locus184","locus359",1,1,NA,NA,1,NA,1,NA,1,0
"locus184","locus360",1,1,1,NA,1,NA,1,NA,1,0
"locus186","locus188",1,1,NA,1,1,NA,1,1,1,0
"locus186","locus189",1,1,NA,NA,1,NA,1,1,1,0
"locus186","locus190",1,1,NA,NA,1,NA,1,1,1,0
