"Locus.1","Locus.2","p.val.Bird's Head-Summer_adj","p.val.Bird's Head-Winter_adj","p.val.HaevoSI-Summer_adj","p.val.HaevoSI-Winter_adj","p.val.IsabelSI-South_adj","p.val.Malaysia_adj","p.val.PNG_adj","num.sig.adj.p"
"locus106","locus291",1,1,NA,NA,1,NA,1,0
"locus106","locus292",1,1,NA,NA,0.796272,NA,1,0
"locus106","locus296",1,1,NA,NA,1,NA,1,0
"locus106","locus301",1,1,NA,NA,1,NA,0.927216,0
"locus106","locus314",1,1,NA,NA,1,NA,1,0
"locus106","locus321",1,1,NA,NA,0.85424,NA,1,0
"locus106","locus322",0.648456,0.648456,NA,NA,0.648456,NA,0.770964,0
"locus106","locus323",1,1,NA,NA,1,NA,1,0
"locus106","locus329",0.979578,0.843208,NA,NA,0.979578,NA,0.979578,0
"locus106","locus332",1,0.556184,NA,NA,1,NA,1,0
"locus106","locus358",0.90849,0.90849,NA,NA,0.066488,NA,0.90849,0
"locus106","locus359",1,1,NA,NA,0.378776,NA,1,0
"locus116","locus120",1,1,NA,NA,1,NA,1,0
"locus116","locus128",1,1,NA,1,1,NA,0.36447,0
"locus116","locus129",1,1,NA,1,1,NA,0.30241,0
"locus116","locus130",0.850712,NA,NA,NA,0.050538,NA,1,0
"locus116","locus134",0.636264,0.209816,NA,NA,0.814324,NA,0.814324,0
"locus116","locus135",1,1,NA,1,1,NA,1,0
"locus116","locus137",1,1,NA,1,0.16664,NA,1,0
"locus116","locus139",1,1,NA,1,1,NA,1,0
"locus116","locus140",1,1,NA,1,1,NA,1,0
"locus116","locus146",1,0.92319,NA,1,1,NA,1,0
"locus116","locus148",1,1,NA,1,1,NA,1,0
"locus116","locus151",1,NA,NA,1,1,NA,1,0
"locus116","locus157",0.223032,NA,NA,NA,0.223032,NA,0.19302,0
"locus116","locus161",1,0.68457,NA,1,1,NA,1,0
"locus116","locus165",1,0.066368,NA,NA,0.599268,NA,1,0
"locus116","locus170",1,0.94304,NA,1,0.32324,NA,1,0
"locus116","locus176",0.862904,NA,NA,NA,0.907724,NA,0.207744,0
"locus116","locus184",1,1,NA,1,1,NA,1,0
"locus116","locus186",1,1,NA,1,1,NA,1,0
"locus116","locus188",1,1,NA,1,1,NA,1,0
"locus116","locus189",1,0.08477,NA,NA,0.216,1,1,0
"locus116","locus190",1,1,NA,NA,0.56743,1,1,0
"locus116","locus191",0.341248,NA,NA,NA,0.698016,0.698016,0.733796,0
"locus116","locus192",1,1,NA,NA,1,1,1,0
"locus116","locus195",1,1,1,NA,1,1,1,0
"locus116","locus202",1,1,NA,NA,0.760384,0.7116,1,0
"locus116","locus215",1,NA,NA,NA,1,1,1,0
"locus116","locus227",1,1,1,NA,1,1,1,0
"locus116","locus231",1,1,1,NA,1,NA,1,0
"locus116","locus235",1,1,NA,NA,1,1,1,0
"locus116","locus236",0.95165,1,NA,NA,1,1,1,0
"locus116","locus237",1,1,NA,NA,1,1,1,0
"locus116","locus239",1,1,NA,NA,1,1,1,0
"locus116","locus248",1,1,NA,NA,1,1,1,0
"locus116","locus256",1,1,NA,NA,1,NA,1,0
"locus116","locus263",0.17572,1,NA,NA,1,NA,0.43002,0
"locus116","locus264",1,1,NA,NA,0.191656,NA,1,0
"locus116","locus274",1,1,NA,NA,0.097384,NA,1,0
"locus116","locus280",1,1,NA,NA,0.893336,NA,1,0
"locus116","locus282",1,0.505728,NA,NA,1,NA,0.864006,0
"locus116","locus286",0.108192,1,NA,NA,1,NA,1,0
"locus116","locus291",1,0.667638,NA,NA,1,NA,0.558912,0
"locus116","locus292",1,1,NA,NA,0.984096,NA,0.984096,0
"locus116","locus296",1,1,NA,NA,1,NA,1,0
"locus116","locus301",1,1,NA,NA,1,NA,1,0
"locus116","locus314",1,1,NA,NA,1,NA,1,0
"locus116","locus321",0.929994,0.929994,NA,NA,0.128232,NA,0.929994,0
"locus116","locus322",0.303816,1,NA,NA,1,NA,0.517488,0
"locus116","locus323",0.423208,1,NA,NA,1,NA,1,0
"locus116","locus329",1,1,NA,NA,1,NA,0.279096,0
"locus116","locus332",0.898056,0.695328,NA,NA,0.898056,NA,0.23372,0
"locus116","locus358",0.116792,1,NA,NA,0.116792,NA,1,0
"locus116","locus359",1,1,NA,NA,1,NA,1,0
"locus116","locus360",0.434064,0.757756,NA,NA,0.434064,NA,0.757756,0
"locus119","locus120",1,1,NA,NA,1,NA,1,0
"locus119","locus128",1,1,NA,1,1,NA,0.54695,0
"locus119","locus129",1,0.7264,NA,1,1,NA,0.73964,0
"locus119","locus130",1,NA,NA,NA,0.45336,NA,1,0
"locus119","locus134",1,1,NA,NA,0.15012,NA,1,0
"locus119","locus135",1,1,NA,1,0.4944,NA,1,0
"locus119","locus137",1,1,NA,1,0.39756,NA,1,0
"locus119","locus139",1,1,NA,1,1,NA,1,0
"locus119","locus140",1,1,NA,1,1,NA,1,0
"locus119","locus146",1,1,NA,1,0.8034,NA,0.53077,0
"locus119","locus148",0.425576,1,NA,1,1,NA,0.07046,0
"locus119","locus151",0.704912,NA,NA,0.79994,0.480792,NA,0.550644,0
"locus119","locus157",0.652672,NA,NA,NA,0.14928,NA,1,0
"locus119","locus161",1,1,NA,1,1,NA,1,0
"locus119","locus165",1,1,NA,NA,1,NA,1,0
"locus119","locus170",0.788544,0.788544,NA,0.788544,0.09168,NA,0.205544,0
"locus119","locus176",0.352968,NA,NA,NA,0.68927,NA,0.531164,0
"locus119","locus184",1,1,NA,1,1,NA,1,0
"locus119","locus186",1,1,NA,1,0.49858,NA,1,0
"locus119","locus188",1,1,NA,0.790552,1,NA,0.23517,0
"locus119","locus189",0.54232,1,NA,NA,1,1,1,0
"locus119","locus190",1,1,NA,NA,1,1,1,0
"locus119","locus191",1,NA,NA,NA,0.374,1,1,0
"locus119","locus192",1,0.41366,NA,NA,1,1,1,0
"locus119","locus195",1,1,1,NA,1,1,1,0
"locus119","locus202",1,1,NA,NA,1,0.914896,0.86395,0
"locus119","locus215",0.698896,NA,NA,NA,1,1,1,0
"locus119","locus227",1,1,1,NA,0.621084,1,1,0
"locus119","locus231",1,1,1,NA,1,NA,0.07591,0
"locus119","locus235",1,1,NA,NA,1,1,1,0
"locus119","locus236",1,0.53574,NA,NA,1,1,1,0
"locus119","locus237",1,1,NA,NA,0.84216,1,1,0
"locus119","locus239",1,1,NA,NA,0.42677,1,1,0
"locus119","locus248",1,1,NA,NA,1,1,1,0
"locus119","locus263",1,0.94136,NA,NA,1,NA,1,0
"locus119","locus264",1,1,NA,NA,1,NA,1,0
"locus119","locus274",1,0.285408,NA,NA,1,NA,1,0
"locus119","locus280",1,1,NA,NA,1,NA,1,0
"locus119","locus282",1,1,NA,NA,1,NA,1,0
"locus119","locus286",1,1,NA,NA,0.193936,NA,1,0
"locus119","locus292",1,1,NA,NA,0.082448,NA,1,0
"locus119","locus296",1,1,NA,NA,0.753888,NA,1,0
"locus119","locus301",1,1,NA,NA,1,NA,0.920408,0
"locus119","locus314",0.93573,0.485112,NA,NA,1,NA,1,0
"locus119","locus321",1,1,NA,NA,1,NA,1,0
"locus119","locus322",0.553384,1,NA,NA,1,NA,1,0
"locus119","locus323",0.34968,1,NA,NA,1,NA,1,0
"locus119","locus329",1,1,NA,NA,1,NA,1,0
"locus119","locus332",0.98764,0.408528,NA,NA,0.631156,NA,0.610416,0
"locus119","locus358",0.639092,0.639092,NA,NA,0.424326,NA,0.34324,0
"locus119","locus359",0.93216,0.884448,NA,NA,0.884448,NA,0.93216,0
"locus119","locus360",0.102288,1,NA,NA,1,NA,1,0
"locus120","locus128",1,1,NA,1,1,NA,1,0
"locus120","locus129",1,1,NA,1,0.57441,NA,1,0
"locus120","locus130",1,NA,NA,NA,1,NA,1,0
"locus120","locus134",1,1,1,NA,1,NA,1,0
"locus120","locus135",1,1,NA,1,1,NA,1,0
"locus120","locus137",1,1,NA,1,1,NA,1,0
"locus120","locus139",0.18905,1,NA,1,1,NA,1,0
"locus120","locus140",0.19132,1,NA,1,1,NA,1,0
"locus120","locus146",1,1,NA,1,1,NA,1,0
"locus120","locus148",1,1,NA,0.24086,1,NA,1,0
"locus120","locus151",0.63054,NA,1,1,1,NA,1,0
"locus120","locus157",0.12195,NA,NA,NA,0.12195,NA,0.495606,0
"locus120","locus161",1,1,NA,1,1,NA,1,0
"locus120","locus165",1,1,NA,NA,1,NA,1,0
"locus120","locus170",1,1,NA,1,1,NA,1,0
"locus120","locus176",1,NA,NA,NA,1,NA,0.911766,0
"locus120","locus184",0.70717,0.70717,NA,0.70717,0.848096,NA,0.848096,0
"locus120","locus186",1,0.559584,NA,0.559584,0.957848,NA,0.16803,0
"locus120","locus188",1,1,NA,1,1,NA,1,0
"locus120","locus189",1,1,NA,NA,1,1,1,0
"locus120","locus190",1,0.80632,NA,NA,1,1,1,0
"locus120","locus191",0.992052,NA,NA,NA,1,1,0.710824,0
"locus120","locus192",0.85415,0.85415,NA,NA,0.85415,1,1,0
"locus120","locus195",1,1,1,NA,1,1,1,0
"locus120","locus202",1,1,NA,NA,0.92233,1,1,0
"locus120","locus215",0.931128,NA,NA,NA,0.931128,0.931128,0.931128,0
"locus120","locus227",1,1,1,NA,1,0.854268,1,0
"locus120","locus231",0.952934,0.931204,NA,NA,0.744736,NA,0.744736,0
"locus120","locus236",0.09173,1,NA,NA,1,0.114056,1,0
"locus120","locus237",1,1,NA,NA,1,1,1,0
"locus120","locus239",1,1,NA,NA,1,1,1,0
"locus120","locus248",1,1,NA,NA,1,1,1,0
"locus120","locus256",1,1,NA,NA,1,NA,0.773768,0
"locus120","locus263",0.376064,1,NA,NA,1,NA,1,0
"locus120","locus264",1,0.927018,NA,NA,1,NA,0.896928,0
"locus120","locus274",1,1,NA,NA,1,NA,1,0
"locus120","locus280",1,1,NA,NA,1,NA,0.516032,0
"locus120","locus282",1,1,NA,NA,1,NA,1,0
"locus120","locus286",1,1,NA,NA,1,NA,1,0
"locus120","locus291",1,0.539064,NA,NA,1,NA,1,0
"locus120","locus292",0.219344,0.528842,NA,NA,0.325548,NA,0.46014,0
"locus120","locus296",0.338776,0.82566,NA,NA,0.82566,NA,0.82566,0
"locus120","locus301",1,1,NA,NA,1,NA,1,0
"locus120","locus314",1,1,NA,NA,1,NA,1,0
"locus120","locus321",1,1,NA,NA,1,NA,1,0
"locus120","locus322",0.570558,1,NA,NA,0.529976,NA,1,0
"locus120","locus323",1,1,NA,NA,1,NA,1,0
"locus120","locus329",1,0.868854,NA,NA,1,NA,0.728232,0
"locus120","locus332",0.163144,1,NA,NA,0.521064,NA,1,0
"locus120","locus358",0.850926,1,NA,NA,0.078032,NA,1,0
"locus120","locus359",0.921624,1,NA,NA,1,NA,1,0
"locus120","locus360",0.19999,1,1,NA,1,NA,1,0
"locus128","locus129",1,1,NA,1,1,NA,1,0
"locus128","locus130",0.587856,NA,NA,NA,0.587856,NA,1,0
"locus128","locus134",1,1,NA,NA,1,NA,1,0
"locus128","locus135",1,1,NA,1,1,NA,1,0
"locus128","locus137",1,1,NA,1,1,NA,1,0
"locus128","locus139",1,1,NA,1,1,NA,1,0
"locus128","locus140",1,1,NA,1,1,NA,1,0
"locus128","locus146",1,0.05763,NA,1,1,NA,1,0
"locus128","locus148",1,1,NA,1,0.11625,NA,1,0
"locus128","locus151",0.80184,NA,1,1,1,NA,1,0
"locus128","locus157",0.82701,NA,NA,NA,0.82701,NA,1,0
"locus128","locus161",1,1,NA,1,1,NA,0.904,0
"locus128","locus165",1,1,NA,NA,0.699072,NA,1,0
"locus128","locus170",0.767888,0.767888,NA,0.99178,0.71257,NA,1,0
"locus128","locus184",1,0.08629,NA,1,1,NA,1,0
"locus128","locus186",1,1,NA,1,1,NA,1,0
"locus128","locus188",1,0.45029,NA,1,0.907956,NA,0.730488,0
"locus128","locus189",1,1,NA,NA,1,NA,1,0
"locus128","locus190",0.457976,0.80226,NA,NA,0.906176,NA,0.906176,0
"locus128","locus191",0.988044,NA,NA,NA,1,NA,1,0
"locus128","locus192",1,1,NA,NA,0.841672,NA,1,0
"locus128","locus195",1,1,1,NA,1,NA,1,0
"locus128","locus202",1,1,NA,NA,1,NA,1,0
"locus128","locus215",1,NA,NA,NA,1,NA,1,0
"locus128","locus227",1,1,1,NA,1,NA,1,0
"locus128","locus231",1,1,NA,NA,1,NA,1,0
"locus128","locus235",1,1,NA,NA,1,NA,0.293464,0
"locus128","locus236",1,0.2916,NA,NA,1,NA,1,0
"locus128","locus237",1,1,NA,NA,1,NA,1,0
"locus128","locus239",1,1,NA,NA,1,NA,1,0
"locus128","locus248",1,0.8984,NA,NA,1,NA,1,0
"locus128","locus256",1,1,NA,NA,0.437936,NA,0.930042,0
"locus128","locus263",1,1,NA,NA,1,NA,1,0
"locus128","locus264",1,0.484208,NA,NA,1,NA,1,0
"locus128","locus274",1,1,NA,NA,1,NA,1,0
"locus128","locus280",0.536646,0.064024,NA,NA,0.536646,NA,1,0
"locus128","locus282",1,1,NA,NA,1,NA,1,0
"locus128","locus286",1,1,NA,NA,1,NA,1,0
"locus128","locus291",1,1,NA,NA,1,NA,1,0
"locus128","locus292",1,1,NA,NA,1,NA,1,0
"locus128","locus296",0.710832,0.710832,NA,NA,0.124928,NA,0.710832,0
"locus128","locus301",1,1,1,NA,1,NA,1,0
"locus128","locus314",1,1,NA,NA,1,NA,1,0
"locus128","locus321",0.691888,1,NA,NA,1,NA,0.82098,0
"locus128","locus322",0.310936,1,NA,NA,1,NA,1,0
"locus128","locus329",1,1,NA,NA,1,NA,0.940272,0
"locus128","locus332",0.476384,0.576708,NA,NA,0.476384,NA,0.476384,0
"locus128","locus358",0.451312,1,NA,NA,1,NA,1,0
"locus128","locus359",0.452808,1,NA,NA,1,NA,1,0
"locus128","locus360",1,1,NA,NA,0.874592,NA,1,0
"locus129","locus130",0.372808,NA,NA,NA,0.81917,NA,0.372372,0
"locus129","locus134",0.557744,1,NA,NA,0.888792,NA,1,0
"locus129","locus135",1,1,NA,1,1,NA,1,0
"locus129","locus137",1,1,NA,1,1,NA,1,0
"locus129","locus139",0.09914,1,NA,1,1,NA,1,0
"locus129","locus140",0.08779,1,NA,1,1,NA,1,0
"locus129","locus146",1,1,NA,0.394392,1,NA,0.29413,0
"locus129","locus148",1,0.5406,NA,1,1,NA,0.993352,0
"locus129","locus151",1,NA,1,1,1,NA,1,0
"locus129","locus157",0.29394,NA,NA,NA,0.501132,NA,0.501132,0
"locus129","locus161",1,1,NA,1,1,NA,1,0
"locus129","locus165",0.601746,0.244144,NA,NA,0.278612,NA,0.244144,0
"locus129","locus170",0.73337,0.73337,NA,1,1,NA,1,0
"locus129","locus176",0.981156,NA,NA,NA,1,NA,1,0
"locus129","locus184",1,1,NA,1,0.31041,NA,1,0
"locus129","locus186",1,1,NA,1,1,NA,1,0
"locus129","locus188",0.4047,0.790648,NA,1,1,NA,1,0
"locus129","locus189",0.43531,1,NA,NA,1,1,1,0
"locus129","locus190",1,1,NA,NA,1,1,1,0
"locus129","locus191",1,NA,NA,NA,0.936472,1,1,0
"locus129","locus192",0.75632,1,NA,NA,0.2137,1,1,0
"locus129","locus202",0.08425,1,NA,NA,0.47148,1,1,0
"locus129","locus215",1,NA,1,NA,1,1,1,0
"locus129","locus227",1,1,1,NA,1,1,1,0
"locus129","locus231",0.794886,0.196528,NA,NA,1,NA,1,0
"locus129","locus235",0.47878,0.67652,NA,NA,1,1,0.787926,0
"locus129","locus236",0.25874,1,NA,NA,1,1,1,0
"locus129","locus237",1,1,NA,NA,1,1,1,0
"locus129","locus239",0.71491,1,NA,NA,1,1,1,0
"locus129","locus248",1,1,NA,NA,1,1,1,0
"locus129","locus256",1,1,NA,NA,0.710056,NA,1,0
"locus129","locus263",1,1,NA,NA,1,NA,1,0
"locus129","locus264",0.382332,0.382332,NA,NA,0.335656,NA,0.920882,0
"locus129","locus274",0.341576,0.65856,NA,NA,1,NA,1,0
"locus129","locus280",1,1,NA,NA,1,NA,1,0
"locus129","locus282",0.596764,0.202344,NA,NA,0.225762,NA,0.596764,0
"locus129","locus286",0.679422,0.931492,NA,NA,0.931492,NA,0.492944,0
"locus129","locus291",1,1,NA,NA,0.10932,NA,0.099256,0
"locus129","locus292",1,1,NA,NA,1,NA,1,0
"locus129","locus296",0.628792,1,NA,NA,1,NA,1,0
"locus129","locus301",1,1,NA,NA,1,NA,1,0
"locus129","locus314",0.508856,0.16408,NA,NA,0.220296,NA,0.366276,0
"locus129","locus321",1,1,NA,NA,1,NA,0.484336,0
"locus129","locus322",1,1,NA,NA,0.115512,NA,0.40821,0
"locus129","locus323",1,0.33348,NA,NA,1,NA,1,0
"locus129","locus329",0.286144,1,NA,NA,1,NA,1,0
"locus129","locus332",0.834602,0.107704,NA,NA,0.479168,NA,0.162738,0
"locus129","locus358",0.231128,0.46032,NA,NA,0.46032,NA,0.508592,0
"locus129","locus359",1,1,NA,NA,1,NA,1,0
"locus129","locus360",0.247424,0.399068,NA,NA,0.399068,NA,0.326394,0
"locus130","locus134",1,NA,NA,NA,1,NA,1,0
"locus130","locus135",1,NA,NA,NA,1,NA,1,0
"locus130","locus137",0.492972,NA,NA,NA,0.540808,NA,1,0
"locus130","locus139",0.643096,NA,NA,NA,1,NA,0.271578,0
"locus130","locus140",0.63802,NA,NA,NA,1,NA,0.27231,0
"locus130","locus146",1,NA,NA,NA,1,NA,1,0
"locus130","locus148",0.59391,NA,NA,NA,0.59391,NA,0.59391,0
"locus130","locus151",1,NA,1,NA,1,NA,0.084296,0
"locus130","locus157",0.657212,NA,NA,NA,1,NA,0.613062,0
"locus130","locus165",1,NA,1,NA,1,NA,1,0
"locus130","locus170",1,NA,NA,NA,1,NA,1,0
"locus130","locus176",1,NA,NA,NA,1,NA,1,0
"locus130","locus184",1,NA,NA,NA,1,NA,1,0
"locus130","locus186",1,NA,NA,NA,0.493056,NA,1,0
"locus130","locus188",1,NA,1,NA,0.22248,NA,1,0
"locus130","locus189",0.674478,NA,NA,NA,0.155768,1,1,0
"locus130","locus190",1,NA,NA,NA,1,1,1,0
"locus130","locus191",1,NA,1,NA,1,1,1,0
"locus130","locus192",1,NA,NA,NA,1,1,1,0
"locus130","locus195",1,NA,1,NA,1,0.71297,1,0
"locus130","locus202",0.641442,NA,NA,NA,0.857936,0.857936,0.355176,0
"locus130","locus215",1,NA,NA,NA,1,1,1,0
"locus130","locus227",1,NA,1,NA,1,1,1,0
"locus130","locus231",1,NA,NA,NA,1,NA,1,0
"locus130","locus235",1,NA,NA,NA,1,1,1,0
"locus130","locus236",1,NA,NA,NA,0.997816,1,0.997816,0
"locus130","locus237",1,NA,NA,NA,1,1,1,0
"locus130","locus239",0.855396,NA,NA,NA,0.589524,0.855396,0.505632,0
"locus130","locus248",0.961164,NA,NA,NA,0.288264,1,0.3738,0
"locus130","locus256",1,NA,NA,NA,0.886152,NA,1,0
"locus130","locus263",1,NA,NA,NA,1,NA,1,0
"locus130","locus264",0.765684,NA,NA,NA,0.397554,NA,1,0
"locus130","locus274",0.200288,NA,NA,NA,0.15618,NA,0.581056,0
"locus130","locus282",1,NA,NA,NA,1,NA,1,0
"locus130","locus286",0.671742,NA,NA,NA,1,NA,1,0
"locus130","locus291",0.87678,NA,NA,NA,1,NA,1,0
"locus130","locus292",1,NA,NA,NA,1,NA,0.394368,0
"locus130","locus296",0.977808,NA,NA,NA,1,NA,0.977808,0
"locus130","locus301",1,NA,NA,NA,0.583158,NA,1,0
"locus130","locus314",1,NA,NA,NA,1,NA,1,0
"locus130","locus321",0.24111,NA,NA,NA,0.24111,NA,0.24111,0
"locus130","locus322",0.90396,NA,NA,NA,0.403908,NA,0.744068,0
"locus130","locus323",1,NA,NA,NA,0.770382,NA,1,0
"locus130","locus329",1,NA,NA,NA,1,NA,1,0
"locus130","locus332",0.903636,NA,NA,NA,0.279582,NA,1,0
"locus130","locus358",1,NA,NA,NA,1,NA,1,0
"locus130","locus359",1,NA,NA,NA,0.998028,NA,1,0
"locus130","locus360",1,NA,NA,NA,1,NA,0.696372,0
"locus134","locus135",0.276498,0.276498,NA,NA,0.728588,NA,0.25488,0
"locus134","locus137",0.814544,0.814544,NA,NA,0.732618,NA,0.664056,0
"locus134","locus139",1,1,NA,NA,1,NA,1,0
"locus134","locus140",1,1,NA,NA,1,NA,1,0
"locus134","locus146",1,1,NA,NA,0.880872,NA,1,0
"locus134","locus148",1,1,NA,NA,1,NA,1,0
"locus134","locus151",0.716198,NA,NA,NA,0.48312,NA,0.211266,0
"locus134","locus157",1,NA,NA,NA,1,NA,1,0
"locus134","locus161",0.05395,1,1,NA,1,NA,1,0
"locus134","locus165",1,1,NA,NA,1,NA,1,0
"locus134","locus170",1,1,NA,NA,1,NA,1,0
"locus134","locus176",1,NA,NA,NA,1,NA,1,0
"locus134","locus184",1,0.549488,NA,NA,0.993336,NA,1,0
"locus134","locus186",1,0.115264,NA,NA,1,NA,1,0
"locus134","locus188",1,1,NA,NA,1,NA,1,0
"locus134","locus189",1,0.61509,NA,NA,0.920104,1,0.920104,0
"locus134","locus190",1,1,NA,NA,1,0.23621,1,0
"locus134","locus191",1,NA,NA,NA,0.553672,1,1,0
"locus134","locus192",1,0.62138,NA,NA,1,1,1,0
"locus134","locus195",1,1,1,NA,0.865944,1,0.865944,0
"locus134","locus202",0.867564,0.419504,NA,NA,1,1,0.14888,0
"locus134","locus215",1,NA,NA,NA,1,1,1,0
"locus134","locus227",1,0.277728,1,NA,1,1,0.33242,0
"locus134","locus231",1,1,NA,NA,1,NA,1,0
"locus134","locus235",1,1,NA,NA,1,1,1,0
"locus134","locus237",0.34061,1,NA,NA,0.34061,1,1,0
"locus134","locus239",1,1,NA,NA,1,1,1,0
"locus134","locus248",0.61224,1,NA,NA,1,1,1,0
"locus134","locus256",0.201016,0.274782,NA,NA,0.559798,NA,0.349368,0
"locus134","locus263",1,1,NA,NA,1,NA,1,0
"locus134","locus264",0.761368,1,NA,NA,1,NA,0.761368,0
"locus134","locus280",0.88404,1,NA,NA,0.905304,NA,1,0
"locus134","locus282",1,1,NA,NA,1,NA,1,0
"locus134","locus286",1,1,NA,NA,1,NA,1,0
"locus134","locus291",1,1,NA,NA,1,NA,1,0
"locus134","locus292",1,1,NA,NA,0.774536,NA,1,0
"locus134","locus296",1,1,NA,NA,1,NA,1,0
"locus134","locus301",1,1,NA,NA,0.183824,NA,1,0
"locus134","locus314",1,1,NA,NA,1,NA,1,0
"locus134","locus321",1,0.411512,NA,NA,1,NA,0.766998,0
"locus134","locus322",1,1,NA,NA,1,NA,1,0
"locus134","locus323",1,1,NA,NA,1,NA,1,0
"locus134","locus329",0.73671,1,NA,NA,0.285824,NA,1,0
"locus134","locus332",1,1,NA,NA,1,NA,1,0
"locus134","locus358",1,0.63536,NA,NA,0.63536,NA,1,0
"locus134","locus359",1,1,NA,NA,1,NA,1,0
"locus134","locus360",1,1,NA,NA,0.527552,NA,0.527552,0
"locus135","locus137",0.86556,1,NA,1,0.86556,NA,1,0
"locus135","locus139",1,0.10127,NA,1,0.379296,NA,1,0
"locus135","locus140",1,0.09928,NA,1,0.374216,NA,1,0
"locus135","locus148",1,1,1,1,1,NA,1,0
"locus135","locus151",0.11624,NA,NA,1,1,NA,1,0
"locus135","locus157",1,NA,NA,NA,1,NA,1,0
"locus135","locus161",1,1,NA,1,1,NA,1,0
"locus135","locus165",1,0.183056,NA,NA,1,NA,1,0
"locus135","locus170",1,1,NA,1,1,NA,1,0
"locus135","locus176",1,NA,1,NA,0.819072,NA,1,0
"locus135","locus184",1,0.23543,NA,1,0.872456,NA,1,0
"locus135","locus186",1,1,NA,1,1,NA,1,0
"locus135","locus188",1,1,NA,1,1,NA,1,0
"locus135","locus189",0.328192,0.863552,NA,NA,0.328192,0.14333,0.726408,0
"locus135","locus190",0.757744,1,NA,NA,0.37375,1,1,0
"locus135","locus191",1,NA,NA,NA,1,0.111408,1,0
"locus135","locus192",1,1,NA,NA,1,1,1,0
"locus135","locus195",1,0.61386,1,NA,0.61386,1,1,0
"locus135","locus202",1,1,NA,NA,0.101824,1,0.09863,0
"locus135","locus215",0.704744,NA,NA,NA,1,1,1,0
"locus135","locus227",1,0.82221,1,NA,1,1,0.462144,0
"locus135","locus231",1,1,NA,NA,1,NA,1,0
"locus135","locus235",1,1,NA,NA,1,1,1,0
"locus135","locus237",0.65392,1,NA,NA,1,1,1,0
"locus135","locus239",0.99261,0.99261,NA,NA,0.99261,0.99261,0.99261,0
"locus135","locus248",1,1,NA,NA,0.61833,1,1,0
"locus135","locus256",1,1,NA,NA,1,NA,1,0
"locus135","locus263",1,1,1,NA,1,NA,1,0
"locus135","locus264",1,1,1,NA,1,NA,1,0
"locus135","locus274",1,0.785304,NA,NA,1,NA,0.599496,0
"locus135","locus280",1,1,NA,NA,1,NA,1,0
"locus135","locus282",1,1,NA,NA,1,NA,1,0
"locus135","locus286",1,1,NA,NA,1,NA,1,0
"locus135","locus291",0.972606,0.999996,NA,NA,0.1002,NA,1,0
"locus135","locus292",1,1,NA,NA,1,NA,1,0
"locus135","locus296",0.730296,0.741878,NA,NA,0.730296,NA,0.730296,0
"locus135","locus301",0.929912,0.9876,NA,NA,0.9876,NA,0.9876,0
"locus135","locus314",1,1,NA,NA,0.26032,NA,1,0
"locus135","locus321",1,1,NA,NA,1,NA,1,0
"locus135","locus322",0.911804,0.38812,NA,NA,0.792168,NA,0.911804,0
"locus135","locus323",0.761478,0.103616,NA,NA,1,NA,1,0
"locus135","locus329",1,1,NA,NA,1,NA,1,0
"locus135","locus332",0.85041,1,NA,NA,0.219088,NA,1,0
"locus135","locus358",1,1,NA,NA,1,NA,1,0
"locus135","locus359",0.551616,1,NA,NA,0.872226,NA,1,0
"locus135","locus360",1,1,NA,NA,1,NA,1,0
"locus137","locus139",0.65432,0.734608,NA,0.734608,0.734608,NA,0.734608,0
"locus137","locus140",0.65506,0.732616,NA,0.732616,0.732616,NA,0.732616,0
"locus137","locus146",0.4908,0.972848,NA,1,1,NA,1,0
"locus137","locus148",0.50853,0.246192,1,1,1,NA,1,0
"locus137","locus151",1,NA,NA,1,1,NA,1,0
"locus137","locus157",0.757452,NA,NA,NA,0.757452,NA,0.734478,0
"locus137","locus161",1,1,NA,1,0.7796,NA,1,0
"locus137","locus165",1,1,NA,NA,1,NA,0.640064,0
"locus137","locus170",1,1,NA,1,0.93888,NA,1,0
"locus137","locus176",0.11952,NA,1,NA,0.795948,NA,0.44259,0
"locus137","locus184",1,1,NA,1,1,NA,1,0
"locus137","locus186",1,1,NA,1,1,NA,1,0
"locus137","locus188",1,0.19244,NA,1,0.861448,NA,1,0
"locus137","locus189",1,1,NA,NA,0.30895,1,1,0
"locus137","locus190",0.632322,0.632322,NA,NA,0.54551,0.632322,0.5632,0
"locus137","locus191",1,NA,NA,NA,0.058024,1,1,0
"locus137","locus192",1,1,NA,NA,1,1,1,0
"locus137","locus195",0.98599,1,1,NA,0.48498,1,1,0
"locus137","locus202",1,1,NA,NA,1,1,1,0
"locus137","locus215",1,NA,NA,NA,1,1,1,0
"locus137","locus227",1,1,1,NA,1,1,1,0
"locus137","locus231",1,1,NA,NA,1,NA,1,0
"locus137","locus235",1,0.67268,NA,NA,1,1,1,0
"locus137","locus236",0.14067,1,NA,NA,1,1,1,0
"locus137","locus239",1,0.750248,NA,NA,0.63566,1,1,0
"locus137","locus248",1,1,NA,NA,1,1,1,0
"locus137","locus256",0.758344,1,NA,NA,1,NA,1,0
"locus137","locus263",1,1,1,NA,1,NA,0.34017,0
"locus137","locus264",0.49527,1,1,NA,1,NA,1,0
"locus137","locus274",1,1,NA,NA,1,NA,1,0
"locus137","locus280",0.927456,0.826788,NA,NA,0.599544,NA,0.927456,0
"locus137","locus282",1,0.691624,NA,NA,1,NA,1,0
