"locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"locus055",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.359546905822301,0.340807174887892,1
"locus056",223,0,1,2,0.00896860986547085,0,0.370161737290271,0.399103139013453,1
"locus058",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.476714863848047,0.47085201793722,1
"locus060",223,0,1,2,0.00896860986547085,0,0.277402126265935,0.295964125560538,1
"locus061",154,69,0.690582959641256,2,0.012987012987013,0,0.277232539447523,0.15695067264574,2
"locus062",222,1,0.995515695067265,2,0.00900900900900901,0.0045045045045045,0.451304577715413,0.448430493273543,1
"locus064",223,0,1,2,0.00896860986547085,0,0.383584420819267,0.390134529147982,1
"locus065",223,0,1,2,0.00896860986547085,0,0.152496598982214,0.15695067264574,1
"locus073",215,8,0.964125560538117,2,0.00930232558139535,0,0.49638423591912,0.457399103139013,1
"locus074",223,0,1,2,0.00896860986547085,0,0.338590215145866,0.31390134529148,1
"locus076",194,29,0.869955156950673,2,0.0103092783505155,0,0.501172114334426,0.399103139013453,1
"locus077",203,20,0.910313901345291,2,0.00985221674876847,0,0.141397555190658,0.139013452914798,1
"locus080",187,36,0.838565022421525,2,0.0106951871657754,0,0.500422933004545,0.426008968609865,1
"locus083",141,82,0.632286995515695,2,0.0141843971631206,0,0.348224426440524,0.210762331838565,1
"locus088",223,0,1,2,0.00896860986547085,0,0.336020557263062,0.37219730941704,1
"locus093",167,56,0.748878923766816,2,0.0119760479041916,0,0.0237363111614607,0.0179372197309417,1
"locus096",223,0,1,2,0.00896860986547085,0,0.311986698241548,0.349775784753363,1
"locus098",204,19,0.914798206278027,2,0.00980392156862745,0,0.397058823529412,0.36322869955157,1
"locus100",223,0,1,2,0.00896860986547085,0,0.365526276011488,0.345291479820628,3
"locus106",216,7,0.968609865470852,2,0.00925925925925926,0,0.229601701469451,0.201793721973094,1
"locus116",203,20,0.910313901345291,2,0.00985221674876847,0,0.42338989235541,0.390134529147982,1
"locus119",223,0,1,2,0.00896860986547085,0,0.481614349775785,0.506726457399103,1
"locus120",223,0,1,2,0.00896860986547085,0,0.262135335315161,0.255605381165919,1
"locus128",188,35,0.84304932735426,2,0.0106382978723404,0,0.350851063829787,0.273542600896861,1
"locus129",223,0,1,3,0.0134529147982063,0,0.417725600846476,0.399103139013453,2
"locus130",140,83,0.62780269058296,2,0.0142857142857143,0,0.280363543266769,0.183856502242152,1
"locus134",197,26,0.883408071748879,2,0.0101522842639594,0,0.420661060952455,0.358744394618834,1
