"Locus.1","Locus.2","p.val.Bird's Head-Summer","p.val.Bird's Head-Winter","p.val.HaevoSI-Summer","p.val.HaevoSI-Winter","p.val.IsabelSI-South","p.val.Malaysia","p.val.PNG","num.sig.p"
"Dc01661","locus035",0.508034,0.326178,0.333996,NA,0.15273,NA,0.354836,0
"Dc01661","locus038",0.513556,0.779336,1,NA,0.767146,NA,0.501336,0
"Dc01661","locus039",1,0.356524,NA,NA,0.120134,NA,0.552106,0
"Dc01661","locus040",0.135238,0.011512,NA,NA,0.989724,NA,1,1
"Dc01661","locus041",0.958268,0.442366,NA,NA,0.782882,NA,1,0
"Dc01661","locus045",0.80577,0.115294,NA,NA,0.190642,NA,0.716156,0
"Dc01661","locus047",0.425198,0.892474,NA,NA,0.3764,NA,0.944632,0
"Dc01661","locus048",0.633534,0.117048,NA,NA,1,NA,1,0
"Dc01661","locus053",0.092414,0.142902,NA,NA,0.137488,NA,0.583774,0
"Dc01661","locus055",0.024054,0.225524,NA,NA,0.099596,NA,0.699442,1
"Dc01661","locus056",0.68495,0.937762,1,1,0.094604,NA,0.976228,0
"Dc01661","locus058",0.64965,0.755004,1,0.542286,0.303802,NA,0.11485,0
"Dc01661","locus060",0.107824,0.152376,NA,1,0.167688,NA,0.928056,0
"Dc01661","locus061",0.481938,NA,NA,NA,0.47837,NA,0.615404,0
"Dc01661","locus062",0.914922,0.777654,NA,1,0.024632,NA,0.98424,1
"Dc01661","locus064",0.871854,0.064472,NA,1,0.359508,NA,0.289474,0
"Dc01661","locus065",0.298164,0.304162,NA,0.14357,0.650018,NA,0.457338,0
"Dc01661","locus073",0.230628,0.29609,NA,1,0.926736,NA,0.912634,0
"Dc01661","locus074",0.229304,0.246174,1,0.427816,0.334476,NA,1,0
"Dc01661","locus076",0.084608,0.991618,NA,NA,0.562472,NA,0.002032,1
"Dc01661","locus077",0.406764,0.002078,NA,Inf,0.782842,NA,1,1
"Dc01661","locus080",0.792848,0.634318,NA,NA,0.614332,NA,0.77181,0
"Dc01661","locus083",0.782638,NA,NA,NA,0.427874,NA,0.595508,0
"Dc01661","locus088",0.781848,0.922866,NA,NA,0.629734,NA,0.253824,0
"Dc01661","locus093",0.487972,Inf,Inf,NA,0.70465,NA,1,0
"Dc01661","locus096",0.941674,0.164656,1,NA,0.856842,NA,0.720308,0
"Dc01661","locus098",0.334824,0.484996,NA,NA,0.16489,NA,0.897178,0
"Dc01661","locus100",0.725714,0.817812,1,NA,0.317282,NA,0.197388,0
"Dc01661","locus106",0.827224,0.789868,NA,NA,0.480262,NA,0.318634,0
"Dc01661","locus116",0.436806,0.388868,NA,NA,0.822764,NA,0.955884,0
"Dc01661","locus119",0.981666,0.391926,NA,NA,0.19125,NA,0.145342,0
"Dc01661","locus120",0.780862,0.732488,NA,NA,0.772258,NA,0.760194,0
