"id","stratum","num.loci.genotyped","num.loci.missing.genotypes","pct.loci.missing.genotypes","pct.loci.homozygous"
"z0216904","HaevoSI-Winter",148,2,0.0133333333333333,0.64
"z0216906","HaevoSI-Winter",147,3,0.02,0.58
"z0216907","HaevoSI-Winter",115,35,0.233333333333333,0.406666666666667
"z0216913","HaevoSI-Winter",127,23,0.153333333333333,0.593333333333333
"z0216918","HaevoSI-Winter",139,11,0.0733333333333333,0.593333333333333
"z0216947","HaevoSI-Winter",94,56,0.373333333333333,0.42
"z0216948","HaevoSI-Winter",96,54,0.36,0.366666666666667
"z0035352","In-water, CA",148,2,0.0133333333333333,0.606666666666667
"z0178009","In-water, CA",150,0,0,0.646666666666667
"z0178011","In-water, CA",150,0,0,0.66
"z0178014","In-water, CA",150,0,0,0.613333333333333
"z0207730","In-water, CA",150,0,0,0.633333333333333
"z0207745","In-water, CA",148,2,0.0133333333333333,0.613333333333333
"z0210588","In-water, CA",150,0,0,0.553333333333333
"z0117088","In-water, Indonesia",129,21,0.14,0.553333333333333
"z0117094","In-water, Indonesia",124,26,0.173333333333333,0.493333333333333
"z0117103","In-water, Indonesia",144,6,0.04,0.64
"z0006796","IsabelSI-South",140,10,0.0666666666666667,0.56
"z0006798","IsabelSI-South",150,0,0,0.606666666666667
"z0006799","IsabelSI-South",148,2,0.0133333333333333,0.566666666666667
"z0006800","IsabelSI-South",148,2,0.0133333333333333,0.626666666666667
"z0006801","IsabelSI-South",143,7,0.0466666666666667,0.606666666666667
"z0006802","IsabelSI-South",149,1,0.00666666666666667,0.646666666666667
"z0006803","IsabelSI-South",147,3,0.02,0.64
"z0012480","IsabelSI-South",145,5,0.0333333333333333,0.613333333333333
"z0012481","IsabelSI-South",150,0,0,0.666666666666667
"z0012482","IsabelSI-South",144,6,0.04,0.62
"z0012483","IsabelSI-South",149,1,0.00666666666666667,0.68
"z0012484","IsabelSI-South",141,9,0.06,0.546666666666667
"z0012485","IsabelSI-South",150,0,0,0.606666666666667
"z0012486","IsabelSI-South",144,6,0.04,0.493333333333333
"z0012487","IsabelSI-South",141,9,0.06,0.533333333333333
"z0012488","IsabelSI-South",139,11,0.0733333333333333,0.566666666666667
"z0012489","IsabelSI-South",150,0,0,0.626666666666667
"z0012490","IsabelSI-South",114,36,0.24,0.433333333333333
"z0012491","IsabelSI-South",144,6,0.04,0.646666666666667
