Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	415	37	146	56	7	353	77	564	41	304	145	225	49	93	75	X	1	308	5	470	530	120	23	139	X	71	X	48	54	41	17	179	199
	101	30	34	24	2	120	41	99	51	64	54	17	36	44	31	X	8	64	X	43	15	74	13	24	2	17	X	17	14	X	7	12	16
	141	18	73	18	27	97	14	155	24	92	43	39	15	59	41	X	4	122	5	273	144	65	37	37	7	23	X	16	13	6	5	22	76
	483	43	193	41	66	272	66	1119	88	326	136	241	72	245	75	X	3	334	13	1044	428	259	141	133	7	60	X	47	28	63	16	80	195
	481	88	247	126	82	331	124	434	180	436	201	87	110	230	158	X	28	428	14	577	461	275	136	138	12	87	X	37	74	6	22	83	175
	854	87	304	169	102	1283	202	1378	182	489	263	399	262	593	475	X	32	620	25	1313	1260	711	145	467	19	189	X	185	277	7	75	174	439
	16	3	4	3	1	13	6	8	4	5	8	3	8	8	3	X	4	4	X	9	3	3	1	4	X	3	X	4	X	X	2	X	2
	335	42	128	79	24	323	90	427	102	177	142	101	74	191	130	X	11	192	5	402	367	137	70	136	4	47	X	37	88	5	19	64	137
	1092	126	445	173	119	567	136	1449	214	758	251	327	118	273	247	X	20	836	32	2200	1140	563	175	253	20	130	X	100	80	43	15	240	362
	590	73	228	79	4	431	59	446	94	238	154	154	115	152	108	X	3	294	7	617	345	65	27	73	4	66	X	59	37	51	19	155	319
	520	69	245	127	79	320	124	509	144	507	226	105	129	269	151	X	20	431	16	704	702	243	100	167	14	73	X	59	91	52	23	83	193
	383	97	189	119	55	341	125	335	136	376	195	124	89	182	143	X	13	361	17	529	493	179	103	145	2	106	X	48	60	92	13	75	161
	747	48	294	127	36	533	84	1067	124	470	178	228	109	293	170	X	8	500	19	1750	1077	281	90	227	3	88	X	78	74	57	23	212	297
	25	10	9	11	X	27	9	17	22	11	17	5	9	12	7	X	9	17	X	12	4	16	2	10	X	5	X	6	6	X	4	5	3
	409	53	153	78	45	213	126	434	98	214	147	105	52	175	92	X	30	295	14	584	310	267	100	174	8	61	X	36	34	12	23	89	134
	947	163	545	260	65	1201	337	1469	283	1064	718	228	244	532	415	X	36	909	9	609	559	588	196	338	12	146	X	74	167	31	68	193	260
	443	83	170	112	35	511	137	530	157	392	199	112	139	266	236	X	14	310	9	616	640	213	109	198	13	73	X	55	99	15	38	118	221
	558	60	220	46	77	257	84	1234	105	332	119	137	67	269	93	X	9	465	18	1213	370	290	140	128	10	66	X	49	37	65	13	80	200
	587	62	213	72	74	355	77	762	129	427	157	219	63	188	146	X	5	482	27	1133	501	305	128	185	18	83	X	61	52	16	27	108	176
	31	9	14	10	1	51	12	23	11	18	19	5	10	17	21	X	10	15	X	11	5	20	5	9	X	8	X	1	4	1	4	4	13
	907	62	415	118	132	434	87	1595	160	542	253	276	100	275	184	X	13	725	27	1941	1043	466	161	203	17	79	X	52	104	169	20	149	340
	334	60	167	92	23	259	60	246	99	310	129	89	99	189	104	X	13	249	8	424	433	128	84	100	7	61	X	43	65	5	22	61	131
	209	66	99	103	22	530	160	266	152	153	136	97	93	188	224	X	13	169	4	307	226	122	78	157	4	111	X	60	89	2	42	107	121
	467	47	173	60	49	237	53	759	51	305	124	122	44	127	75	X	4	376	11	970	544	218	92	99	4	45	X	44	31	5	12	78	155
	442	116	188	143	78	302	143	360	173	350	225	125	131	206	213	X	25	318	15	412	451	223	144	157	19	60	X	46	118	10	32	84	172
	505	87	256	135	29	556	179	575	174	546	337	78	164	231	227	X	32	478	X	259	251	328	87	200	10	68	X	67	122	67	39	68	129
	583	139	425	319	32	1283	337	960	314	637	551	121	325	562	405	X	35	592	8	582	419	484	188	350	23	180	X	79	301	11	72	130	178
	148	52	48	66	1	194	53	124	125	80	88	31	58	54	69	X	13	160	2	67	13	91	25	26	3	10	X	14	10	9	7	12	17
	484	174	345	280	87	515	239	302	347	481	279	137	216	312	198	X	120	368	19	511	403	356	138	218	41	108	X	73	121	5	57	98	165
	698	119	370	166	92	426	156	564	200	643	335	151	181	340	216	X	32	546	21	942	706	305	162	206	22	98	X	53	84	73	25	102	259
	526	57	233	70	80	259	73	1184	117	306	121	229	80	244	84	X	7	399	12	959	411	284	135	105	7	51	X	45	27	17	16	104	180
	574	67	248	111	79	476	105	714	152	357	177	148	89	251	171	X	11	486	25	1156	576	289	127	184	11	60	X	63	67	75	35	123	201
	X	1	2	1	X	3	X	2	X	X	X	X	1	1	X	X	X	1	X	1	2	X	X	X	X	X	X	X	X	X	X	X	X
	212	36	62	49	1	161	35	162	80	133	96	31	83	80	69	X	6	155	X	66	21	105	21	26	2	22	X	19	18	7	6	11	33
	44	6	13	32	X	331	42	307	21	27	49	127	35	78	66	X	X	100	5	184	78	59	25	66	X	42	X	30	34	8	9	46	53
	8	1	X	3	X	6	2	2	3	3	4	1	3	1	1	X	X	3	1	2	2	2	1	X	X	X	X	1	2	2	X	3	1
	9	1	2	4	X	11	2	11	10	15	4	1	4	5	4	X	5	13	X	X	X	4	2	X	X	1	X	X	X	X	X	X	1
	576	120	221	155	59	532	180	785	171	409	285	206	209	314	226	X	23	477	16	730	978	263	138	244	14	122	X	88	99	8	32	113	285
	902	179	397	291	117	735	186	1082	410	732	339	246	236	493	322	X	43	761	28	1903	787	480	230	348	31	213	X	148	165	18	58	247	365
	482	132	276	177	74	466	192	447	194	463	318	145	156	241	269	X	31	414	14	453	476	327	130	279	14	142	X	44	102	2	43	93	169
	1251	161	609	323	44	1614	389	1722	376	1064	784	230	363	512	501	X	18	889	11	925	572	839	164	444	13	166	X	139	272	7	66	134	310
	29	8	14	9	2	43	17	38	44	15	27	4	19	14	12	X	17	23	2	26	8	31	3	8	1	5	X	4	5	1	1	5	6
	38	5	16	18	X	49	12	34	32	18	19	8	30	24	19	X	4	22	1	17	4	13	6	5	X	5	X	4	3	X	1	4	9
	142	16	46	31	42	116	15	166	33	86	49	38	21	59	32	X	10	116	6	199	165	86	37	24	5	13	X	10	17	2	5	30	47
	1332	142	527	220	93	955	197	1727	350	977	335	482	200	516	317	X	14	1087	37	2746	1651	524	210	433	20	180	X	168	167	221	39	354	495
	43	13	28	25	1	30	17	39	36	37	24	14	24	23	15	X	8	45	1	24	12	30	2	8	X	7	X	1	7	X	1	3	8
	451	26	154	46	68	176	34	605	66	225	101	127	37	138	63	X	6	313	16	717	505	206	71	82	6	49	X	40	36	11	7	68	155
	358	34	177	58	60	164	49	569	53	223	101	96	38	115	80	X	14	268	18	638	484	197	79	72	13	43	X	37	30	8	8	77	151
	29	15	29	19	1	39	17	48	34	44	27	6	14	30	22	X	3	46	X	26	11	16	1	13	X	4	X	8	4	8	8	1	13
	325	52	151	74	47	203	83	241	94	260	121	90	90	147	97	X	15	226	9	345	313	173	76	106	7	58	X	19	51	38	16	27	94
	910	95	361	130	113	489	92	1508	170	588	242	277	102	341	179	X	14	845	33	2437	1268	533	182	212	17	94	X	85	60	12	17	226	293
	29	10	16	13	1	15	1	25	15	35	23	2	10	15	15	X	6	32	1	14	17	14	6	14	X	5	X	3	3	X	6	3	8
	504	166	226	200	64	511	155	522	291	556	275	218	202	226	249	X	21	493	19	672	424	320	149	279	28	112	X	113	99	96	37	138	198
	1053	190	458	276	113	1087	308	1366	363	875	398	241	241	585	456	X	38	924	22	1946	1300	566	260	492	36	235	X	179	272	26	58	224	437
	612	129	270	209	48	803	229	513	328	458	319	206	260	447	266	X	22	469	11	545	633	295	102	306	11	143	X	94	174	10	57	134	226
	53	9	21	13	X	65	20	58	25	35	22	5	18	12	27	X	2	32	X	24	13	52	13	13	1	8	X	4	6	9	3	1	8
	552	105	250	157	71	672	178	560	234	523	263	260	122	252	230	X	26	479	15	791	523	300	155	276	23	150	X	100	115	69	37	175	217
	26	10	12	15	1	36	20	33	14	25	21	3	12	25	15	X	2	17	X	6	10	22	6	11	X	3	X	6	12	1	7	5	12
	387	62	188	104	57	233	76	350	116	308	195	74	83	148	107	X	10	289	10	439	371	202	85	118	12	65	X	35	63	8	15	74	141
	1103	118	642	181	207	693	150	1995	325	1065	328	469	318	637	246	X	25	775	31	2037	1533	588	246	334	35	187	X	117	193	117	49	291	536
	411	72	207	95	64	284	102	341	124	358	157	89	100	197	144	X	24	312	8	506	464	204	94	138	9	42	X	39	72	82	25	76	158
	551	99	252	129	45	395	132	499	160	408	233	159	143	264	190	X	18	410	11	655	706	242	124	176	12	82	X	62	83	104	26	72	212
	10	4	6	8	X	12	4	5	8	1	10	X	2	11	2	X	7	4	X	2	3	5	2	6	X	X	X	X	1	1	X	1	1
	502	149	270	213	75	477	158	338	285	486	260	98	190	304	237	X	79	380	26	484	428	272	170	215	37	83	X	72	126	4	52	86	164
	20	7	8	5	X	20	10	10	15	11	10	6	12	9	12	X	2	13	2	4	9	6	6	4	1	4	X	5	2	1	2	3	2
	1094	113	527	180	174	504	120	1563	248	759	304	304	147	396	209	X	11	1030	46	2941	1154	502	229	247	20	164	X	143	95	29	20	228	370
	388	81	188	161	38	543	153	474	229	421	171	157	131	269	235	X	23	305	16	541	388	199	129	242	18	113	X	63	102	69	38	96	183
	614	57	279	88	84	328	57	1004	115	362	161	135	61	240	125	X	7	578	25	1783	735	252	109	142	9	82	X	57	48	65	15	126	226
	674	76	263	111	68	461	114	1072	148	441	198	145	84	258	164	X	8	586	18	1701	707	312	141	199	12	99	X	64	67	8	19	171	253
	604	74	265	89	70	509	99	1218	186	592	144	298	132	407	135	X	9	395	11	1125	645	331	179	193	11	117	X	59	57	5	24	205	227
	1403	133	547	264	147	742	171	1952	245	971	388	431	204	517	288	X	14	1130	36	3346	1461	569	241	384	27	201	X	171	131	21	37	191	481
	586	85	281	163	49	546	131	511	223	505	217	108	152	266	199	X	18	437	4	661	637	246	111	250	12	121	X	55	108	62	25	120	216
	559	131	306	188	94	557	173	497	201	632	281	124	183	257	268	X	52	517	15	725	652	304	143	187	27	93	X	57	112	5	11	79	237
