Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
	385	62	183	88	56	214	75	348	110	302	194	68	79	X	107	X	4	286	7	436	X	187	12	118	8	65	X	35	63	5	15	71	X
	1088	118	326	150	200	660	149	1985	316	1047	328	437	298	2	245	X	22	764	30	2020	1	540	61	330	31	182	X	110	191	115	47	275	X
	404	72	207	89	63	275	102	339	119	344	157	81	95	1	144	X	17	309	7	502	X	186	23	134	9	38	X	35	72	79	24	71	X
	546	99	249	123	43	381	132	495	157	403	233	155	138	X	190	X	14	407	9	651	X	226	24	175	11	30	X	61	83	103	26	69	X
	10	3	6	8	X	11	4	5	7	1	10	X	1	X	2	X	2	4	X	2	X	5	X	6	X	X	X	X	1	1	X	1	X
	490	148	262	165	70	399	154	334	253	462	259	77	176	1	237	X	42	375	18	467	X	238	38	211	28	74	X	65	125	4	51	79	X
	20	7	8	5	X	20	10	10	15	11	10	4	10	X	12	X	X	12	1	3	X	6	X	4	1	4	X	5	2	1	2	3	X
	1083	112	512	159	167	478	117	1559	244	745	300	285	140	2	208	X	8	1009	17	2925	3	485	54	245	14	162	X	138	94	28	20	216	X
	379	81	183	139	38	528	148	468	223	416	170	149	127	2	235	X	17	298	14	528	X	176	19	238	15	113	X	55	100	64	37	91	X
	612	54	277	81	83	311	55	1000	112	356	160	125	59	X	124	X	6	574	25	1758	X	236	27	140	6	2	X	53	48	56	15	120	X
	665	76	247	95	64	451	112	1071	146	429	196	121	76	1	164	X	8	571	18	1693	X	294	37	196	12	97	X	60	67	8	19	160	X
	589	73	255	71	69	492	97	1214	184	582	143	283	127	1	135	X	7	382	11	1115	X	307	34	192	8	1	X	53	57	4	24	194	X
	1385	130	539	232	143	720	169	1942	240	965	388	410	195	1	288	X	11	1117	35	3323	2	534	52	379	25	102	X	159	130	19	37	179	X
	581	85	277	154	48	537	130	508	219	500	216	100	146	X	199	X	18	429	4	650	X	233	25	244	12	119	X	50	104	61	24	116	X
	546	130	296	160	92	505	169	492	177	608	280	113	174	1	267	X	30	514	13	711	X	275	33	183	13	92	X	53	109	4	10	71	X
