Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
134113	14	X	25	23	4	22	2	5	6	25	2	23	13	492	1	X	4	18	29	62	1636	42	224	1	5	3	X	9	2	13	2	8	504
62787	3	2	7	26	6	29	3	2	14	21	1	10	4	306	X	X	24	1	11	7	763	27	154	4	1	60	X	3	1	2	1	11	237
26452	10	2	10	17	3	29	1	7	1	27	1	12	3	279	X	X	9	5	2	51	1062	26	143	X	1	49	X	11	2	1	1	2	294
12524	6	X	4	10	X	8	1	8	1	5	1	3	2	220	X	X	X	10	12	33	910	20	88	2	1	X	X	4	1	4	2	3	240
117103	5	X	2	2	X	5	1	4	2	10	X	7	5	239	1	X	1	1	3	10	677	9	39	2	1	66	X	10	X	5	2	6	282
12497	10	3	2	21	1	4	1	3	3	7	5	9	14	260	1	X	8	9	3	6	317	17	63	4	2	3	X	5	X	5	3	3	110
134059	7	X	11	8	2	14	X	4	1	1	1	9	2	190	X	X	X	4	7	20	636	15	79	4	2	2	X	4	X	4	X	2	194
32021	9	1	3	30	1	18	3	1	12	13	2	9	17	327	1	X	25	4	5	8	420	29	109	5	X	89	X	8	2	2	3	9	203
12492	45	6	615	49	3	15	5	12	11	28	4	32	17	724	3	X	1	33	X	62	2003	46	277	16	3	7	X	15	1	1	2	20	623
76693	9	2	6	20	2	17	5	3	4	5	X	9	7	282	1	X	8	7	X	12	469	30	79	3	2	3	X	5	1	7	1	7	179
62634	8	1	3	19	X	40	5	2	14	6	2	8	13	206	1	X	11	2	1	8	503	15	80	2	4	2	X	3	X	1	1	3	159
76711	4	X	5	16	1	16	1	3	9	7	1	4	4	211	X	X	6	X	4	7	444	13	71	3	4	X	X	2	1	3	2	1	141
62766	14	1	8	29	6	36	2	9	11	14	7	23	17	370	X	X	17	5	14	21	856	28	164	3	10	82	X	8	2	1	X	16	278
40942	7	4	5	27	2	11	4	1	9	4	1	9	5	306	1	X	5	9	6	11	474	25	120	3	2	80	X	3	X	3	2	11	199
12515	4	X	X	8	X	7	X	5	1	2	X	19	4	552	X	X	6	1	1	X	603	3	20	2	X	2	X	11	5	3	1	20	260
134061	3	X	1	18	2	19	1	X	3	4	X	2	X	101	X	X	3	3	4	14	347	14	61	1	2	1	X	1	X	2	X	5	127
