"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"39","Dc33907",137,5,0.964788732394366,2,0.0145985401459854,0,0.378198443891874,0.373239436619718,1
"40","Dc34902",142,0,1,2,0.0140845070422535,0,0.178370576817797,0.154929577464789,1
"41","Dc35779",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.273996113172308,0.28169014084507,1
"42","Dc36571",132,10,0.929577464788732,2,0.0151515151515152,0,0.497033068325844,0.485915492957746,1
"43","Dc36616",142,0,1,2,0.0140845070422535,0,0.330338924003384,0.330985915492958,1
"44","Dc36767",86,56,0.605633802816901,3,0.0348837209302326,0,0.44390044879641,0.295774647887324,2
"45","Dc40235",142,0,1,2,0.0140845070422535,0,0.295699995023142,0.274647887323944,1
"46","Dc41234",95,47,0.669014084507042,3,0.0315789473684211,0,0.616931216931217,0.352112676056338,2
"47","Dc47572",142,0,1,3,0.0211267605633803,0,0.423057781316876,0.422535211267606,2
"48","Dc48207",125,17,0.880281690140845,2,0.016,0,0.0470361445783133,0.0422535211267606,1
"49","Dc48950",142,0,1,3,0.0211267605633803,0,0.626113571890708,0.626760563380282,2
"50","Dc49080",142,0,1,2,0.0140845070422535,0,0.501542825859752,0.457746478873239,1
"51","Dc49184",142,0,1,3,0.0211267605633803,0,0.40643507689245,0.373239436619718,2
"52","Dc51020",142,0,1,2,0.0140845070422535,0,0.418056039416712,0.436619718309859,1
"53","Dc52523",141,1,0.992957746478873,4,0.0283687943262411,0.00709219858156028,0.56896595239898,0.598591549295775,2
"54","Dc55481",124,18,0.873239436619718,2,0.0161290322580645,0,0.323233642418702,0.253521126760563,1
"55","Dc62188",142,0,1,3,0.0211267605633803,0,0.614019807893296,0.647887323943662,2
"56","Dc67011",142,0,1,2,0.0140845070422535,0,0.313417608122232,0.330985915492958,1
"57","locus002",98,44,0.690140845070423,2,0.0204081632653061,0,0.332548403976975,0.274647887323944,1
"58","locus003",142,0,1,2,0.0140845070422535,0,0.429204200467825,0.408450704225352,1
"59","locus004",142,0,1,2,0.0140845070422535,0,0.376325088339223,0.373239436619718,1
"60","locus005",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.355998081825295,0.330985915492958,1
"61","locus006",142,0,1,2,0.0140845070422535,0,0.33444483153337,0.323943661971831,1
"62","locus008",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.404760101966129,0.443661971830986,1
"63","locus013",142,0,1,2,0.0140845070422535,0,0.473000547454337,0.394366197183099,1
"64","locus014",142,0,1,2,0.0140845070422535,0,0.498755785596974,0.5,1
"65","locus016",134,8,0.943661971830986,2,0.0149253731343284,0,0.16367600201241,0.154929577464789,1
"66","locus022",142,0,1,3,0.0211267605633803,0,0.585502413775942,0.584507042253521,2
"67","locus024",140,2,0.985915492957746,2,0.0142857142857143,0,0.342012288786482,0.359154929577465,1
"68","locus025",137,5,0.964788732394366,2,0.0145985401459854,0,0.500521376433785,0.408450704225352,1
"69","locus027",90,52,0.633802816901408,2,0.0222222222222222,0,0.39844816883923,0.232394366197183,1
"70","locus030",142,0,1,2,0.0140845070422535,0,0.501144677250784,0.443661971830986,1
"71","locus035",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.228792811892683,0.246478873239437,1
"72","locus038",130,12,0.915492957746479,2,0.0153846153846154,0,0.501900801900802,0.415492957746479,1
"73","locus039",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.259382650614573,0.288732394366197,1
"74","locus040",128,14,0.901408450704225,2,0.015625,0,0.22545955882353,0.161971830985915,1
"75","locus041",128,14,0.901408450704225,2,0.015625,0,0.422273284313726,0.387323943661972,1
"76","locus045",140,2,0.985915492957746,2,0.0142857142857143,0,0.280363543266769,0.246478873239437,2
"77","locus047",142,0,1,2,0.0140845070422535,0,0.500870950082118,0.464788732394366,1
"78","locus048",142,0,1,2,0.0140845070422535,0,0.143433036380829,0.154929577464789,1
"79","locus053",142,0,1,3,0.0211267605633803,0,0.589956701338775,0.640845070422535,2
"80","locus055",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.378107569218344,0.373239436619718,1
"81","locus056",142,0,1,2,0.0140845070422535,0,0.33444483153337,0.366197183098592,1
"82","locus058",141,1,0.992957746478873,2,0.0141843971631206,0.00709219858156028,0.474293935034451,0.450704225352113,1
"83","locus060",142,0,1,2,0.0140845070422535,0,0.257875877171154,0.26056338028169,1
"84","locus062",142,0,1,2,0.0140845070422535,0,0.453590802767133,0.436619718309859,1
"85","locus064",142,0,1,2,0.0140845070422535,0,0.396630667396606,0.401408450704225,1
"86","locus065",142,0,1,2,0.0140845070422535,0,0.161125765191858,0.176056338028169,1
"87","locus073",140,2,0.985915492957746,2,0.0142857142857143,0,0.497465437788019,0.528169014084507,1
"88","locus074",142,0,1,2,0.0140845070422535,0,0.354227840541482,0.316901408450704,1
"89","locus076",124,18,0.873239436619718,2,0.0161290322580645,0,0.501208044926211,0.429577464788732,1
"90","locus077",133,9,0.936619718309859,2,0.0150375939849624,0,0.133153638814016,0.133802816901408,1
"91","locus080",137,5,0.964788732394366,2,0.0145985401459854,0,0.501403705783268,0.471830985915493,1
"92","locus083",124,18,0.873239436619718,2,0.0161290322580645,0,0.337436332767402,0.26056338028169,1
"93","locus088",142,0,1,2,0.0140845070422535,0,0.3464639426666,0.387323943661972,1
