Sample_idx1_idx2	DermGT_01	DermGT_05	DermGT_06	DermGT_10	DermGT_13	DermGT_15	DermGT_18	DermGT_22	DermGT_39	DermGT_43	DermGT_48	GT_14-5	GT_A1	GT_A6	GT_B116	GT_C102	GT_Cc1G02	GT_Cc5C08	GT_Cc5F01	GT_Cc5H07	GT_Cm3	GT_D1	GT_D115	GT_D8	GT_LB123	GT_LB133	GT_LB141	GT_LB142	GT_LB143	GT_LB145	GT_LB158	GT_Or2	GT_Or7	
16884	5	X	136	13	5	13	X	3	5	11	X	17	12	280	1	X	X	6	1	8	675	23	78	3	1	2	X	5	1	1	X	8	247
12514b	6	1	X	5	X	2	X	2	X	7	1	7	3	200	X	X	1	X	X	X	372	5	31	X	1	4	X	5	1	X	X	6	165
134064	1	X	1	1	X	11	1	1	4	3	1	2	2	59	X	X	3	X	4	6	144	5	22	X	4	X	X	2	X	3	X	2	76
76715	7	1	5	15	4	18	2	1	2	10	1	5	7	184	X	X	3	5	5	4	428	7	78	1	X	42	X	4	X	X	3	3	168
37412	10	1	5	27	2	21	4	5	7	13	4	20	11	740	1	X	9	7	1	19	809	43	199	14	2	11	X	13	4	6	2	13	412
12524	6	X	4	10	X	8	1	8	1	5	1	3	2	220	X	X	X	10	12	33	910	20	88	2	1	X	X	4	1	4	2	3	240
62622	5	X	3	30	3	45	1	3	19	13	X	12	9	201	X	X	25	3	8	12	213	24	85	4	2	6	X	4	X	X	1	1	86
178014	9	X	7	12	X	19	2	10	6	20	2	15	16	506	2	X	4	9	1	13	572	11	136	5	3	5	X	16	4	1	2	11	310
134112	22	9	8	43	4	12	5	5	5	24	3	24	14	966	4	X	10	9	X	17	819	50	248	7	2	4	X	11	6	2	2	21	508
216921	2	X	1	1	X	3	X	X	8	1	X	X	3	14	X	X	16	X	2	4	8	X	3	X	1	X	X	X	X	X	X	2	6
40945	9	1	2	4	X	8	2	1	2	11	1	9	9	312	1	X	4	8	5	4	785	8	106	2	1	4	X	9	2	1	3	11	277
134113b	7	X	18	15	3	11	1	4	3	11	1	11	4	213	1	X	2	9	17	34	869	18	96	X	1	X	X	7	1	8	X	3	258
216916	1	X	X	1	X	11	X	1	3	X	1	2	1	17	X	X	9	X	X	1	5	X	3	X	X	X	X	X	X	X	X	1	13
102616	2	2	2	21	X	7	7	1	12	4	X	2	15	104	X	X	35	1	6	6	118	17	40	2	3	1	X	5	X	2	1	13	64
76691	4	3	X	38	3	14	4	3	14	8	X	7	10	204	X	X	19	5	2	7	209	40	87	9	4	4	X	5	X	2	3	10	93
117088b	X	X	2	1	X	3	1	1	1	2	1	8	5	88	X	X	1	3	X	4	193	3	9	X	X	X	X	3	1	X	1	X	163
134087	8	X	X	8	1	12	X	12	9	2	1	9	2	138	X	X	2	1	2	9	505	6	58	X	X	2	X	5	X	1	X	3	155
6803	8	1	9	17	4	16	1	2	1	12	1	7	6	246	1	X	1	11	17	9	757	11	118	2	5	1	X	2	1	X	X	6	239
76695b	12	2	5	15	2	14	1	2	7	6	X	3	7	212	X	X	3	2	1	8	400	10	84	2	3	3	X	5	1	X	1	2	126
26450	7	1	3	8	3	3	X	3	3	8	X	10	4	236	X	X	3	13	7	38	681	15	71	1	2	2	X	1	X	1	1	8	208
12486	12	5	8	13	2	8	3	9	6	4	1	12	2	250	1	X	2	8	17	14	576	25	93	2	1	X	X	3	X	X	4	6	201
12509c	7	4	4	22	4	16	X	1	6	11	1	10	2	269	1	X	4	6	4	12	382	28	138	3	2	51	X	4	1	1	2	4	176
62634b	4	1	1	11	X	19	3	X	8	4	1	6	4	114	1	X	5	2	X	7	237	6	40	X	2	2	X	X	X	X	1	2	90
216918	5	5	2	3	X	5	X	2	1	1	2	X	18	134	2	X	8	2	2	1	31	5	27	X	1	4	X	1	X	X	2	3	33
16887	7	X	13	16	3	15	X	7	5	4	2	9	3	244	X	X	X	6	X	14	411	14	114	2	2	3	X	5	1	7	1	2	180
134108b	3	X	4	14	5	14	2	3	6	5	X	4	1	104	1	X	2	4	5	7	355	14	61	X	2	1	X	5	X	2	X	1	135
62630	5	X	8	13	1	29	3	2	11	9	X	2	2	172	X	X	17	1	4	3	440	15	73	1	4	X	X	3	2	1	1	3	91
12488	16	3	4	4	X	12	1	7	1	7	1	12	6	209	X	X	1	3	8	23	766	12	99	2	2	1	X	4	X	2	1	6	290
216904	5	1	13	26	2	13	2	3	8	22	4	6	21	484	1	X	7	10	1	11	579	28	88	5	X	5	X	10	1	2	10	2	169
26451b	3	X	69	7	2	1	X	2	X	7	X	7	1	134	1	X	1	4	X	6	494	5	49	4	X	X	X	1	X	1	X	2	118
134095	1	X	1	1	2	9	1	3	1	2	X	4	2	126	X	X	X	2	1	4	365	4	44	X	X	34	X	2	X	2	X	1	114
12494	17	X	4	17	4	13	1	7	2	11	1	11	6	262	X	X	3	7	3	8	841	17	121	3	X	42	X	2	1	1	X	5	237
12485	10	2	5	41	3	29	2	X	4	22	3	11	9	252	1	X	18	7	2	17	522	29	123	2	2	68	X	4	X	7	X	9	217
61467b	9	3	9	8	1	5	1	4	2	5	5	7	4	274	X	X	2	9	2	26	830	31	95	1	2	2	X	2	1	14	1	11	250
6800	11	2	8	16	5	15	5	5	5	7	1	11	4	314	X	X	2	6	3	19	696	20	142	2	1	3	X	10	X	4	X	3	273
216922	1	X	X	X	X	2	X	X	6	X	1	1	3	12	X	X	7	X	X	2	4	X	1	X	X	X	X	X	X	X	2	2	3
216915	X	X	X	X	X	8	2	X	X	X	X	1	1	24	1	X	3	1	1	X	4	X	3	X	X	X	X	1	X	X	X	1	9
12521b	4	1	5	14	5	23	1	5	6	6	X	7	2	266	X	X	3	11	4	24	846	31	130	2	2	2	X	10	X	3	2	9	245
62743b	4	X	6	6	X	24	X	3	5	2	X	6	2	110	X	X	16	4	12	7	233	10	47	2	4	1	X	2	X	1	1	2	88
6799	10	4	46	74	X	13	2	X	10	19	8	9	10	218	X	X	12	3	7	6	138	53	75	2	3	112	X	4	3	2	6	8	87
134098	8	X	2	9	2	12	1	1	X	5	2	8	3	132	X	X	5	4	X	18	546	12	66	2	3	2	X	1	1	1	1	3	181
76707	9	X	5	22	X	15	5	6	6	5	1	8	4	267	X	X	6	7	2	13	388	23	110	4	3	X	X	8	2	5	1	5	183
216909	1	X	X	1	X	4	X	X	5	X	1	1	X	5	X	X	4	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	1
12499	5	2	4	28	1	18	1	2	10	14	X	10	17	226	X	X	5	5	6	10	424	30	118	3	7	66	X	9	2	5	X	3	198
32023	6	1	4	9	5	14	2	1	9	7	X	6	1	130	X	X	3	4	1	6	300	10	69	1	1	1	X	2	X	2	X	1	110
216927	2	X	1	X	X	4	1	1	1	1	1	2	1	54	1	X	9	2	1	2	13	3	16	1	X	X	X	3	X	1	X	2	17
12527	26	1	8	284	3	30	56	5	44	43	X	15	19	348	1	X	43	2	9	24	142	335	87	8	6	6	X	6	4	5	5	6	110
216910	X	X	X	X	X	3	X	X	2	2	X	1	1	30	X	X	2	X	X	1	11	1	1	X	X	X	X	X	X	X	X	X	13
134111	3	X	5	6	4	9	X	7	2	5	X	8	1	211	X	X	3	8	12	12	786	8	77	X	2	31	X	7	X	1	X	2	208
37419	7	X	3	4	2	7	1	2	3	4	1	6	7	230	3	X	4	2	2	8	722	5	64	2	2	49	X	5	X	1	X	6	201
134108	9	1	7	13	3	18	2	2	3	5	2	4	5	116	1	X	X	1	6	13	406	7	52	1	1	1	X	1	X	3	1	5	122
102610	1	X	4	18	2	27	2	X	10	15	1	6	5	192	X	X	13	5	10	15	330	19	68	4	2	30	X	2	X	X	1	5	113
12509	10	1	5	20	X	16	X	4	3	10	1	9	9	226	X	X	1	12	9	16	877	21	108	4	1	3	X	5	1	1	1	5	236
6805	4	1	2	20	1	11	2	X	6	8	3	2	4	221	X	X	2	1	6	6	283	20	83	1	X	X	X	3	X	X	X	8	86
76697	3	2	2	26	10	26	1	6	5	3	X	8	10	369	X	X	9	4	9	12	847	15	116	6	3	3	X	7	X	6	3	8	268
12480	6	X	1	5	1	11	1	5	2	5	1	2	3	193	X	X	6	5	7	32	786	10	109	1	X	36	X	2	1	1	1	3	163
26456	11	1	10	4	1	5	X	4	2	3	1	6	2	246	X	X	2	6	5	18	921	5	58	X	X	5	X	4	1	2	1	9	277
102605b	3	X	80	3	3	20	1	1	2	7	1	4	2	114	X	X	7	2	2	10	254	10	39	1	3	3	X	3	1	X	1	1	107
62687b	3	X	1	6	1	23	1	1	3	10	1	1	7	113	1	X	4	1	4	7	254	10	39	1	5	36	X	3	1	3	1	3	69
12489b	6	X	3	46	X	24	6	2	10	8	X	16	3	212	1	X	12	6	11	21	471	40	119	2	7	2	X	5	1	1	1	13	177
134055	9	4	4	7	4	10	1	7	3	6	X	13	2	256	X	X	X	3	X	31	869	9	94	1	X	42	X	2	2	2	1	9	249
37467	4	X	75	7	X	7	1	X	5	5	1	2	2	161	1	X	2	4	2	4	381	7	49	3	X	1	X	2	X	8	2	3	88
12522	2	X	X	3	X	X	X	1	X	X	X	4	6	267	X	X	X	2	X	X	509	3	13	1	X	21	X	2	X	2	X	X	151
12515	4	X	X	8	X	7	X	5	1	2	X	19	4	552	X	X	6	1	1	X	603	3	20	2	X	2	X	11	5	3	1	20	260
37469b	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	1	X	1	3	X	1	X	X	X	X	X	X	X	X	X	X
40943	3	1	7	8	1	15	X	2	3	11	X	7	2	186	X	X	X	4	4	14	485	9	63	2	5	1	X	1	1	1	X	2	144
62752	11	X	5	22	1	26	5	3	5	3	1	4	17	199	1	X	13	1	2	11	345	32	95	3	5	3	X	2	2	1	1	8	176
62743	14	1	3	47	3	26	10	1	23	7	2	6	8	199	1	X	38	5	3	16	169	75	67	3	3	2	X	2	X	X	X	5	76
37419b	4	X	X	3	1	5	X	X	1	3	X	3	5	81	1	X	6	2	X	8	255	3	46	X	X	23	X	1	2	1	X	1	84
102610b	5	X	1	9	5	29	2	2	2	10	X	4	4	126	X	X	6	3	8	10	412	9	83	4	3	33	X	1	1	X	X	5	123
12504	5	1	1	10	5	10	1	5	5	21	7	3	12	240	X	X	9	2	4	4	476	15	93	5	2	2	X	3	3	X	X	4	169
76713	3	X	6	6	3	14	1	5	8	13	X	6	5	136	X	X	9	3	3	6	261	13	61	3	3	52	X	1	X	X	X	3	120
32021b	4	X	1	10	X	9	1	1	4	3	1	2	2	87	X	X	3	1	1	3	102	4	28	1	X	20	X	1	X	X	X	1	49
16882	9	X	7	4	X	14	3	5	6	9	X	7	4	269	X	X	1	4	1	3	370	16	111	2	2	35	X	3	X	1	X	6	200
62761b	7	4	8	13	4	26	X	X	9	11	1	5	6	208	X	X	11	1	5	17	329	13	78	3	1	43	X	6	1	2	X	3	134
117089	X	X	X	X	X	1	X	X	X	X	X	X	X	1	X	X	X	X	X	X	2	X	X	X	X	X	X	X	X	X	X	X	X
